team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"871,526",80,"10,894","1,405,109","1,467","50,595","188,191","146,303","187,339","152,007","115,949","81,737",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,257,033",80,"15,713","1,605,843","10,037","51,798","123,286","161,623","243,525","316,180","237,577","174,842",Memorial Stadium
Boston Red Sox,AL,"2,074,549",74,"28,034","1,967,145","10,358","35,748","182,323","377,708","264,247","464,140","479,935","306,196",Fenway Park
Chicago Cubs,NL,"1,440,753",75,"19,210","1,686,100","1,795","41,105","126,675","178,164","229,250","409,747","355,140","141,777",Wrigley Field
Chicago White Sox,AL,"1,680,296",75,"22,404","1,456,370","10,840","50,412","118,356","195,057","279,724","482,824","354,020","250,315",Comiskey Park I
Cincinnati Reds,NL,"2,526,031",76,"33,237","2,140,864","13,010","52,286","246,038","384,752","630,164","368,896","581,359","314,822",Cinergy Field
Cleveland Indians,AL,"920,869",71,"12,970","1,301,340","10,752","54,690","118,561","137,693","168,384","279,122","111,637","105,472",Cleveland Stadium
Detroit Tigers,AL,"1,410,065",78,"18,078","1,475,532","1,969","51,745","110,345","202,756","328,802","227,855","329,187","211,120",Tiger Stadium
Houston Astros,NL,"1,099,580",77,"14,280","1,505,539","10,019","42,916","156,911","148,856","154,546","294,691","192,847","151,729",Astrodome
Kansas City Royals,AL,"1,889,574",77,"24,540","1,507,734","10,737","40,525","213,850","286,341","324,320","312,001","418,119","334,943",Kauffman Stadium
Los Angeles Dodgers,NL,"2,945,087",79,"37,280","1,975,782","14,506","53,385","320,406","470,807","485,155","522,000","621,469","525,250",Dodger Stadium
Milwaukee Brewers,AL,"1,141,774",76,"15,023","1,263,565","10,511","55,120","171,921","229,194","251,585","220,516","218,787","49,771",County Stadium
Minnesota Twins,AL,"1,162,727",77,"15,100","1,419,550","10,240","46,463","57,849","74,090","377,660","205,920","286,296","160,912",Metropolitan Stadium
Montreal Expos,NL,"1,437,190",78,"18,426","1,337,016","10,062","57,592","185,219","161,345","287,549","325,310","291,297","186,470",Stade Olympique
New York Mets,NL,"1,062,782",70,"15,183","1,470,962","10,080","52,784","129,404","148,562","269,177","169,779","264,773","81,087",Shea Stadium
New York Yankees,AL,"2,316,023",81,"28,593","2,148,262","10,502","55,269","153,398","468,312","324,229","450,698","473,534","445,852",Yankee Stadium I
Oakland Athletics,AL,"504,765",73,"6,915","1,223,485","1,798","32,409","77,145","85,652","123,269","99,314","74,318","45,067",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,699,750",79,"34,174","1,455,746","14,354","63,283","185,991","401,433","369,981","587,643","545,178","609,524",Veterans Stadium
Pittsburgh Pirates,NL,"1,237,359",73,"16,950","1,628,613","10,161","51,580","83,262","233,618","217,714","289,806","283,057","129,902",Three Rivers Stadium
San Diego Padres,NL,"1,375,269",79,"17,408","1,376,025","10,021","45,375","336,333","222,241","169,301","341,853","138,683","166,858",Qualcomm Stadium
San Francisco Giants,NL,"696,654",74,"9,414","1,473,725","1,029","48,771","122,119","104,187","88,174","164,540","128,004","89,630",Candlestick Park
Seattle Mariners,AL,"1,350,601",76,"17,771","1,110,419","10,050","57,762","251,614","207,779","215,467","281,085","270,228","124,428",Kingdome
St. Louis Cardinals,NL,"1,658,282",79,"20,991","1,594,782","10,353","50,340","145,605","352,890","370,937","326,609","316,909","145,332",Busch Stadium II
Texas Rangers,AL,"1,274,962",76,"16,776","1,252,835","10,090","36,852","137,635","189,528","176,064","278,270","310,759","182,706",Arlington Stadium
Toronto Blue Jays,AL,"1,794,651",75,"23,929","1,101,763","11,505","44,649","190,360","343,363","358,701","326,203","235,221","340,803",Exhibition Stadium
California Angels,AL,"1,435,133",76,"18,883","1,379,179","10,066","44,000","204,551","226,636","292,449","297,409","234,878","179,210",Angel Stadium of Anaheim
