Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,52,19,1,.732,6.4,3.2,3.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Homestead Grays,45,18,1,.714,8.5,4.8,3.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Yankees,102,52,3,.662,6.2,4.3,2.0,-0.3,1.7,103-51,-1,57-20,45-32,7-4,23-20,73-34,29-18,56-32,46-20
4,New York Giants,95,57,0,.625,4.8,4.0,0.9,-0.1,0.7,89-63,6,50-25,45-32,8-6,29-18,69-40,26-17,50-36,45-21
5,Cincinnati Tigers,35,19,1,.648,5.2,4.1,1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Newark Eagles,36,21,2,.632,6.3,5.3,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Chicago Cubs,93,61,0,.604,5.3,4.4,0.8,-0.1,0.7,89-65,4,46-32,47-29,6-4,20-20,70-43,23-18,51-37,42-24
8,Detroit Tigers,89,65,1,.578,6.0,5.4,0.6,-0.1,0.5,84-70,5,49-28,40-37,10-6,30-26,73-51,16-14,44-44,45-21
9,Chicago American Giants,36,24,1,.600,4.3,5.1,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Pittsburgh Pirates,86,68,0,.558,4.6,4.2,0.4,0.0,0.3,83-71,3,46-32,40-36,5-3,29-18,54-45,32-23,44-44,42-24
11,Chicago White Sox,86,68,0,.558,5.1,4.7,0.3,0.0,0.3,82-72,4,47-30,39-38,9-6,29-24,72-55,14-13,39-49,47-19
12,Philadelphia Stars,29,32,1,.475,4.3,5.2,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Cleveland Indians,83,71,2,.539,5.2,4.9,0.3,0.0,0.3,81-73,2,50-28,33-43,8-4,29-21,52-48,31-23,41-47,42-24
14,St. Louis Cardinals,81,73,3,.526,5.1,4.7,0.4,-0.1,0.3,82-72,-1,45-33,36-40,3-8,23-19,71-63,9-10,34-54,47-19
15,Indianapolis Athletics,17,21,1,.447,5.9,6.2,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,New York Black Yankees,22,30,2,.423,5.1,6.3,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Boston Red Sox,80,72,2,.526,5.3,5.0,0.3,0.0,0.3,80-72,0,44-29,36-43,7-9,21-23,69-68,11-4,40-48,40-24
18,Boston Bees,79,73,0,.520,3.8,3.7,0.2,0.0,0.1,79-73,0,43-33,36-40,12-4,22-14,65-53,14-20,39-47,40-26
19,Birmingham Black Barons,17,24,0,.415,6.7,6.6,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Washington Elite Giants,23,36,3,.390,5.2,5.2,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Washington Nationals,73,80,5,.477,4.8,5.3,-0.5,0.1,-0.5,69-84,4,43-35,30-45,5-7,29-21,45-54,28-26,45-65,28-15
22,Brooklyn Dodgers,62,91,2,.405,4.0,5.0,-1.0,0.1,-0.9,61-92,1,36-39,26-52,7-5,18-21,49-69,13-22,40-70,22-21
23,Detroit Stars,15,24,0,.385,5.7,8.3,-2.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Pittsburgh Crawfords,18,36,1,.333,4.7,7.1,-2.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Philadelphia Phillies,61,92,2,.399,4.7,5.6,-0.9,0.1,-0.8,64-89,-3,29-45,32-47,3-10,15-24,44-62,17-29,39-71,22-21
26,Philadelphia Athletics,54,97,3,.358,4.5,5.5,-1.0,0.1,-0.9,62-89,-8,27-50,27-47,4-7,22-27,48-80,6-17,35-73,19-24
27,Memphis Red Sox,15,29,0,.341,3.9,7.0,-3.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,Cincinnati Reds,56,98,1,.364,3.9,4.6,-0.6,0.1,-0.5,67-87,-11,28-51,28-47,2-6,14-36,45-79,11-19,35-75,21-23
29,St. Louis Browns,46,108,2,.299,4.6,6.6,-2.0,0.3,-1.7,53-101,-7,25-51,21-57,2-9,10-31,41-88,5-20,28-82,18-26
30,St. Louis Stars,5,32,0,.135,5.7,8.7,-3.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,53,53,1,.500,5.2,5.4,,,,52-53,,22-18,18-22,3-3,12-12,31-31,9-9,22-29,18-11
