Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Homestead Grays,50,25,2,.667,6.0,4.1,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Kansas City Monarchs,31,16,1,.660,5.2,3.2,2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Yankees,101,53,2,.656,5.3,4.0,1.3,-0.2,1.1,96-58,5,51-26,50-27,10-5,23-15,70-36,31-17,27-17,74-36
4,Brooklyn Dodgers,100,54,3,.649,5.1,3.7,1.4,-0.2,1.2,99-55,1,52-25,48-29,8-4,28-16,68-37,32-17,37-29,63-25
5,Baltimore Elite Giants,44,24,0,.647,6.1,3.8,2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,St. Louis Cardinals,97,56,2,.634,4.7,3.8,0.9,-0.1,0.8,92-61,5,53-24,44-32,11-11,31-22,68-41,29-15,39-27,58-29
7,Birmingham Black Barons,28,17,0,.622,4.0,4.3,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Boston Red Sox,84,70,1,.545,5.6,4.8,0.7,-0.1,0.7,87-67,-3,47-30,37-40,4-7,19-19,71-52,13-18,25-19,59-51
9,Cincinnati Reds,88,66,0,.571,4.0,3.7,0.3,0.0,0.3,83-71,5,45-34,43-32,5-6,27-20,76-64,12-2,30-36,58-30
10,Newark Eagles,30,28,1,.517,4.7,5.8,-1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Chicago White Sox,77,77,2,.500,4.1,4.2,-0.1,0.0,-0.1,76-78,1,38-39,39-38,6-9,27-17,59-65,18-12,14-30,63-47
12,St. Louis-New Orleans Stars,18,23,2,.439,4.2,5.4,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Pittsburgh Pirates,81,73,2,.526,4.4,4.1,0.3,0.0,0.3,82-72,-1,45-32,36-41,3-5,27-23,65-63,16-10,26-40,55-33
14,Memphis Red Sox,23,23,2,.500,5.0,3.4,1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,Detroit Tigers,75,79,1,.487,4.4,4.8,-0.4,0.0,-0.3,71-83,4,43-34,32-45,7-5,20-21,54-62,21-17,32-34,43-45
16,Cleveland Indians,75,79,1,.487,4.4,4.3,0.1,0.0,0.0,78-76,-3,42-35,33-44,4-9,22-26,53-58,22-21,25-41,50-38
17,New York Black Yankees,15,20,0,.429,4.0,5.3,-1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
18,New York Giants,74,79,3,.484,4.3,4.5,-0.3,0.0,-0.2,73-80,1,38-39,36-40,7-6,19-30,59-60,15-19,29-58,45-21
19,New York Cubans,21,32,1,.396,4.8,5.3,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Jacksonville Red Caps,13,21,1,.382,3.7,5.5,-1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Chicago Cubs,70,84,1,.455,4.3,4.3,0.0,0.0,0.0,77-77,-7,38-39,32-45,4-5,19-25,49-59,21-25,36-52,34-32
22,St. Louis Browns,70,84,3,.455,4.9,5.2,-0.4,0.0,-0.3,72-82,-2,40-37,30-47,8-4,17-23,50-59,20-25,28-38,42-46
23,Washington Nationals,70,84,2,.455,4.7,5.1,-0.4,0.1,-0.4,71-83,-1,40-37,30-47,7-9,23-21,51-58,19-26,23-43,47-41
24,Chicago American Giants,16,29,2,.356,3.1,6.0,-2.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Philadelphia Stars,15,46,0,.246,3.3,5.4,-2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
26,Boston Braves,62,92,2,.403,3.8,4.6,-0.8,0.1,-0.7,63-91,-1,32-44,30-48,7-6,19-22,47-65,15-27,31-57,31-35
27,Philadelphia Athletics,64,90,0,.416,4.6,5.5,-0.8,0.1,-0.7,66-88,-2,36-41,28-49,6-4,20-29,51-71,13-19,26-40,38-50
28,Philadelphia Phillies,43,111,1,.279,3.2,5.1,-1.9,0.2,-1.7,46-108,-3,23-52,20-59,7-9,16-28,38-98,5-13,21-67,22-44
,Average,54,54,1,.500,4.5,4.6,,,,54-55,,23-20,20-23,3-3,12-12,33-33,10-10,16-22,27-21
