Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Boston Red Sox,105,47,.691,5.2,3.5,1.7,-0.2,1.5,102-50,3,57-20,48-27,7-2,30-19,81-38,24-9,43-23,62-24
2,New York Giants,103,48,.682,5.3,3.7,1.6,-0.2,1.4,100-51,3,49-25,54-23,6-4,32-14,76-39,27-9,21-21,82-27
3,Pittsburgh Pirates,93,58,.616,4.9,3.7,1.2,-0.2,1.0,95-56,-2,44-31,49-27,11-7,28-23,67-41,26-17,21-20,72-38
4,Washington Nationals,91,61,.599,4.5,3.8,0.8,-0.1,0.7,89-63,2,45-32,46-29,6-5,30-25,74-51,17-10,30-34,61-27
5,Chicago Cubs,91,59,.607,5.0,4.4,0.6,-0.1,0.5,83-67,8,46-30,45-29,8-4,31-15,53-40,38-19,21-22,70-37
6,Philadelphia Athletics,90,62,.592,5.1,4.3,0.8,-0.1,0.7,88-64,2,45-31,45-31,10-1,24-21,75-51,15-11,30-34,60-28
7,Chicago White Sox,78,76,.506,4.0,4.1,-0.1,0.0,-0.1,76-78,2,34-43,44-33,4-7,22-22,63-63,15-13,27-39,51-37
8,Cincinnati Reds,75,78,.490,4.2,4.7,-0.4,0.1,-0.4,70-83,5,45-32,30-46,8-7,30-28,54-63,21-15,27-38,48-40
9,Cleveland Naps,75,78,.490,4.4,4.4,0.0,0.0,0.0,76-77,-1,41-35,34-43,7-6,20-22,62-68,13-10,34-54,41-24
10,Philadelphia Phillies,73,79,.480,4.4,4.5,-0.1,0.0,-0.1,74-78,-1,34-41,39-38,5-7,21-20,57-61,16-18,23-41,50-38
11,Detroit Tigers,69,84,.451,4.7,5.0,-0.4,0.0,-0.3,71-82,-2,37-39,32-45,5-8,19-18,50-60,19-24,31-56,38-28
12,St. Louis Cardinals,63,90,.412,4.3,5.4,-1.1,0.1,-1.0,61-92,2,37-40,26-50,7-8,19-24,42-60,21-30,21-45,42-45
13,Brooklyn Dodgers,58,95,.379,4.3,4.9,-0.6,0.1,-0.5,67-86,-9,33-43,25-52,5-8,16-38,37-59,21-36,19-47,39-48
14,St. Louis Browns,53,101,.344,3.5,4.9,-1.4,0.2,-1.2,55-99,-2,27-50,26-51,1-4,19-30,44-92,9-9,28-60,25-41
15,Boston Braves,52,101,.340,4.5,5.6,-1.1,0.2,-1.0,61-92,-9,31-47,21-54,6-11,16-31,34-76,18-25,12-53,40-48
16,New York Highlanders,50,102,.329,4.1,5.5,-1.4,0.2,-1.2,56-96,-6,31-44,19-58,2-9,16-23,43-83,7-19,23-64,27-38
,Average,76,76,.500,4.5,4.5,,,,76-75,,39-36,36-39,6-6,23-23,57-59,19-17,25-40,50-35
