team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"2,898,806",81,"35,788","2,401,954","25,300","49,726","434,639","520,869","623,997","354,145","548,268","416,888",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"3,654,764",81,"45,121","2,157,958","21,748","47,679","692,669","589,030","578,292","782,936","507,499","504,338",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,315,349",81,"28,585","2,115,874","15,594","34,676","312,030","348,630","472,893","320,511","515,798","345,487",Fenway Park
Chicago Cubs,NL,"2,219,110",78,"28,450","2,261,765","11,464","40,743","334,588","338,269","336,468","434,477","493,841","281,467",Wrigley Field
Chicago White Sox,AL,"1,666,025",79,"21,089","2,155,416","12,549","43,601","172,929","234,291","372,538","304,379","303,087","278,801",Guaranteed Rate Field
Cincinnati Reds,NL,"1,871,459",76,"24,624","2,128,756","15,958","53,136","265,761","238,043","380,123","359,060","340,076","288,396",Cinergy Field
Cleveland Indians,AL,"3,320,078",79,"42,026","2,387,575","39,974","43,433","456,004","414,694","674,191","548,992","591,992","634,205",Progressive Field
Colorado Rockies,NL,"3,906,328",81,"48,226","2,136,456","45,703","50,185","630,566","576,810","818,444","671,803","627,947","580,758",Coors Field
Detroit Tigers,AL,"1,168,610",81,"14,427","2,075,257","10,297","42,932","152,060","227,854","164,269","187,689","263,641","173,097",Tiger Stadium
Florida Marlins,NL,"1,753,706",80,"21,921","2,173,897","14,052","41,815","295,598","358,141","316,608","271,964","243,660","267,735",Sun Life Stadium
Houston Astros,NL,"1,977,715",81,"24,416","2,033,688","12,700","49,674","282,847","288,219","311,692","389,287","401,036","304,634",Astrodome
Kansas City Royals,AL,"1,436,006",80,"17,950","2,088,399","11,588","39,526","226,161","223,694","331,710","177,163","315,844","161,434",Kauffman Stadium
Los Angeles Dodgers,NL,"3,188,454",81,"39,364","2,374,470","25,600","54,331","559,465","377,799","528,047","554,304","528,215","640,624",Dodger Stadium
Milwaukee Brewers,AL,"1,327,150",78,"17,015","2,076,476","10,117","42,090","167,794","151,512","266,199","270,184","276,150","195,311",County Stadium
Minnesota Twins,AL,"1,437,446",80,"17,968","2,013,845","10,237","51,011","255,235","176,180","246,756","337,024","195,949","226,302",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,618,571",81,"19,982","2,231,020","10,126","46,893","188,810","347,763","239,482","291,508","266,309","284,699",Stade Olympique
New York Mets,NL,"1,582,648",78,"20,290","2,059,199","12,065","42,060","236,339","209,081","333,152","280,850","256,772","266,454",Shea Stadium
New York Yankees,AL,"2,255,051",78,"28,911","2,226,665","12,760","56,329","231,905","314,156","406,437","380,109","560,030","362,414",Yankee Stadium I
Oakland Athletics,AL,"1,187,348",80,"14,842","2,091,280","10,056","47,313","139,112","189,306","146,397","212,213","278,190","222,130","Cashman Field, Oakland-Alameda County Coliseum"
Philadelphia Phillies,NL,"1,796,354",78,"23,030","2,029,683","15,263","46,872","222,893","286,284","286,377","293,046","377,908","329,846",Veterans Stadium
Pittsburgh Pirates,NL,"1,322,079",78,"16,950","2,021,606","10,081","41,416","172,009","274,918","166,901","305,327","236,830","166,094",Three Rivers Stadium
San Diego Padres,NL,"2,207,918",81,"27,258","2,188,408","10,510","55,412","349,462","291,218","374,357","428,759","364,683","399,439","Qualcomm Stadium, Estadio Monterrey"
San Francisco Giants,NL,"1,418,722",80,"17,734","2,255,190","10,026","50,014","222,346","173,843","261,185","366,254","189,417","205,677",Candlestick Park
Seattle Mariners,AL,"2,721,073",81,"33,593","2,220,768","15,626","57,467","455,450","572,636","351,693","410,388","491,819","439,087",Kingdome
St. Louis Cardinals,NL,"2,645,824",81,"32,664","2,111,602","18,731","52,876","406,981","328,505","392,664","512,907","541,192","463,575",Busch Stadium II
Texas Rangers,AL,"2,889,040",80,"36,113","2,067,135","18,086","46,764","423,932","449,623","560,887","519,424","462,035","473,139",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,559,910",81,"31,604","1,979,945","25,446","44,238","414,612","405,470","362,337","470,331","442,051","465,109",Rogers Centre
California Angels,AL,"1,820,183",81,"22,471","2,101,440","14,447","45,979","261,683","374,727","333,157","295,581","332,447","222,588",Angel Stadium of Anaheim
