team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,509,924",81,"30,987","2,749,786","19,868","49,110","397,068","524,590","257,566","412,735","509,717","408,248",Chase Field
Atlanta Braves,NL,"2,532,834",81,"31,270","2,694,344","16,706","50,124","353,362","521,252","419,930","444,034","379,450","414,806",Turner Field
Baltimore Orioles,AL,"1,950,075",78,"25,001","2,532,276","10,505","48,817","322,299","358,065","271,002","373,474","400,398","224,837",Oriole Park at Camden Yards
Boston Red Sox,AL,"3,048,250",81,"37,633","3,107,749","36,567","38,172","564,136","413,132","564,929","452,608","414,869","638,576",Fenway Park
Chicago Cubs,NL,"3,299,840",81,"40,739","2,906,269","37,812","41,730","638,098","688,289","413,490","414,698","778,850","366,415",Wrigley Field
Chicago White Sox,AL,"2,501,103",81,"30,878","2,450,498","16,499","40,354","360,231","266,641","518,817","385,591","563,316","406,507",Guaranteed Rate Field
Cincinnati Reds,NL,"2,058,632",81,"25,415","2,777,002","11,987","42,498","299,258","349,435","329,750","428,920","354,018","297,251",Great American Ballpark
Cleveland Indians,AL,"2,169,760",80,"27,122","2,482,152","13,827","41,872","364,312","417,501","360,596","338,294","339,426","349,631",Progressive Field
Colorado Rockies,NL,"2,650,218",80,"33,128","2,654,989","23,210","49,233","328,582","533,286","454,161","472,592","404,353","457,244",Coors Field
Detroit Tigers,AL,"3,202,654",81,"39,539","2,344,660","30,901","45,280","510,827","484,104","653,251","380,026","643,307","531,139",Comerica Park
Florida Marlins,NL,"1,335,076",80,"16,688","2,665,096","10,113","39,124","202,532","218,557","219,462","235,835","263,019","195,671",Sun Life Stadium
Houston Astros,NL,"2,779,487",80,"34,744","2,607,966","15,158","43,483","367,279","462,420","617,990","429,407","556,323","346,068","Minute Maid Park, American Family Field"
Kansas City Royals,AL,"1,578,922",79,"19,986","2,423,763","10,307","37,537","227,762","255,496","311,175","263,562","318,377","202,550",Kauffman Stadium
Los Angeles Dodgers,NL,"3,730,553",81,"46,056","2,811,503","33,224","56,000","663,778","512,722","723,597","596,218","635,192","599,046",Dodger Stadium
Milwaukee Brewers,NL,"3,068,908",81,"37,888","2,692,175","23,748","45,346","439,207","406,282","482,527","714,878","425,927","600,087",American Family Field
Minnesota Twins,AL,"2,302,431",81,"28,425","2,402,520","14,781","49,596","337,369","402,723","385,670","380,206","407,983","388,480",Hubert H. Humphrey Metrodome
New York Mets,NL,"4,042,047",79,"51,165","2,911,487","45,321","56,350","697,780","649,301","615,020","623,333","716,109","740,504",Shea Stadium
New York Yankees,AL,"4,298,655",81,"53,070","2,850,594","41,302","55,130","553,986","785,325","801,478","972,002","648,904","536,960",Yankee Stadium I
Oakland Athletics,AL,"1,665,262",81,"20,559","2,365,510","10,128","44,735","314,589","297,070","411,622","260,719","201,242","180,020","Tokyo Dome, Oakland-Alameda County Coliseum"
Philadelphia Phillies,NL,"3,422,583",81,"42,254","2,690,366","25,831","45,521","544,017","606,173","489,826","581,309","662,478","538,780",Citizens Bank Park
Pittsburgh Pirates,NL,"1,609,076",80,"20,113","2,729,779","10,185","39,081","204,893","229,947","361,894","314,262","313,338","184,742",PNC Park
San Diego Padres,NL,"2,427,535",81,"29,970","2,899,661","18,714","44,965","461,551","340,100","590,280","283,993","474,006","277,605",Petco Park
San Francisco Giants,NL,"2,863,837",81,"35,356","2,581,538","30,068","42,861","537,874","410,641","406,195","567,764","536,771","404,592",Oracle Park
Seattle Mariners,AL,"2,329,702",81,"28,762","2,415,640","15,818","46,334","383,667","431,290","319,827","392,598","478,356","323,964",T-Mobile Park
St. Louis Cardinals,NL,"3,430,403",81,"42,351","2,619,996","33,748","46,865","722,412","600,135","394,533","608,452","548,879","555,992",Busch Stadium III
Tampa Bay Rays,AL,"1,811,986",81,"22,370","2,427,415","10,511","36,048","320,739","280,780","300,274","281,365","340,307","288,521","Tropicana Field, The Ballpark at Disney`s Wide World"
Texas Rangers,AL,"1,945,677",80,"24,321","2,381,224","12,882","48,808","283,345","304,919","350,482","264,499","414,503","327,929",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,399,786",81,"29,627","2,421,035","15,686","50,171","321,749","340,973","430,703","384,675","452,881","468,805",Rogers Centre
Washington Nationals,NL,"2,320,400",80,"29,005","2,626,039","20,487","39,824","418,924","397,038","493,241","273,305","436,388","301,504",Nationals Park
Los Angeles Angels,AL,"3,336,747",81,"41,194","2,399,331","35,014","44,260","554,695","646,317","452,348","473,110","788,534","421,743",Angel Stadium of Anaheim
