team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,800,376",78,"23,082","2,003,104","10,308","48,905","252,211","274,508","262,354","460,531","290,062","260,710",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,613,685",74,"21,807","1,617,098","10,469","51,958","176,054","155,586","283,233","261,511","318,883","418,418",Memorial Stadium
Boston Red Sox,AL,"1,954,038",79,"24,735","1,752,196","12,065","36,654","198,233","257,185","366,606","316,641","422,485","392,888",Fenway Park
Chicago Cubs,NL,"1,250,410",79,"15,828","1,824,626","10,058","34,306","145,862","160,880","267,175","217,721","301,603","157,169",Wrigley Field
Chicago White Sox,AL,"1,567,787",76,"20,629","1,657,852","10,310","50,892","123,149","325,525","260,602","287,773","340,553","230,185",Comiskey Park I
Cincinnati Reds,NL,"1,340,706",79,"16,971","1,747,440","10,069","51,894","151,610","246,428","331,491","210,769","265,137","135,271",Cinergy Field
Cleveland Indians,AL,"1,044,041",77,"13,559","1,476,665","10,375","69,557","135,694","144,082","149,433","310,601","163,454","140,777",Cleveland Stadium
Detroit Tigers,AL,"1,636,058",76,"21,527","1,610,377","10,654","51,038","135,463","353,140","295,206","299,293","330,946","222,010",Tiger Stadium
Houston Astros,NL,"1,560,396",80,"19,505","1,587,730","10,683","43,543","308,994","260,258","326,815","283,769","207,984","172,576",Astrodome
Kansas City Royals,AL,"2,279,464",80,"28,493","1,602,564","14,662","41,380","211,584","422,001","308,198","443,598","409,385","484,698",Kauffman Stadium
Los Angeles Dodgers,NL,"3,608,881",80,"45,111","2,253,070","26,977","51,730","460,834","579,374","435,967","572,775","773,240","786,691",Dodger Stadium
Milwaukee Brewers,AL,"1,978,815",78,"25,369","1,831,880","10,107","55,716","115,661","192,385","262,146","527,465","423,109","458,049",County Stadium
Minnesota Twins,AL,"921,186",81,"11,373","1,452,104","10,412","52,279","198,453","147,250","127,410","191,587","179,082","77,404",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"2,319,792",78,"29,741","1,565,986","10,102","59,094","152,287","425,073","381,886","375,742","518,969","465,835",Stade Olympique
New York Mets,NL,"1,320,469",75,"17,606","1,625,062","10,013","51,515","150,215","346,194","202,325","295,852","207,792","118,091",Shea Stadium
New York Yankees,AL,"2,041,219",75,"27,216","2,206,782","14,626","55,521","236,587","210,145","438,884","443,215","405,516","306,872",Yankee Stadium I
Oakland Athletics,AL,"1,738,658",78,"22,290","1,713,995","10,318","51,513","190,058","428,070","271,190","265,494","384,137","199,709",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,374,711",77,"30,840","1,850,500","14,431","63,501","137,340","462,013","409,246","384,601","516,469","465,042",Veterans Stadium
Pittsburgh Pirates,NL,"1,026,477",76,"13,506","1,769,386","10,437","38,052","64,056","143,840","140,473","242,363","279,718","156,027",Three Rivers Stadium
San Diego Padres,NL,"1,617,391",79,"20,473","1,742,759","10,130","49,973","312,174","267,408","244,100","275,218","275,179","243,312",Qualcomm Stadium
San Francisco Giants,NL,"1,228,846",77,"15,959","1,741,639","10,055","53,281","235,219","134,782","138,107","188,698","177,103","354,937",Candlestick Park
Seattle Mariners,AL,"1,070,387",81,"13,215","1,353,971","10,030","40,775","116,189","224,170","209,690","184,868","228,459","107,011",Kingdome
St. Louis Cardinals,NL,"2,111,922",80,"26,399","1,849,075","11,313","49,062","185,865","309,322","388,618","381,276","468,524","378,317",Busch Stadium II
Texas Rangers,AL,"1,154,432",78,"14,800","1,514,422","10,352","42,163","162,629","200,903","215,109","258,835","176,915","140,041",Arlington Stadium
Toronto Blue Jays,AL,"1,275,908",77,"16,570","1,392,288","10,087","35,065","147,682","153,659","266,377","222,852","311,648","173,690",Exhibition Stadium
California Angels,AL,"2,807,360",81,"34,659","1,900,844","20,970","62,020","324,516","530,749","581,615","452,485","445,011","472,984",Angel Stadium of Anaheim
