team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"848,097",76,"11,159","1,819,007","1,938","34,929","132,538","130,938","126,559","202,014","165,026","91,022",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,660,738",74,"22,442","1,889,760","11,180","52,395","149,771","300,481","343,616","301,730","280,118","285,022",Memorial Stadium
Boston Red Sox,AL,"2,463,339",79,"31,182","2,200,276","12,045","35,462","276,659","388,611","440,078","441,514","473,658","442,819",Fenway Park
Chicago Cubs,NL,"2,088,534",77,"27,124","2,108,849","11,002","36,399","114,827","376,352","429,357","346,689","482,763","338,546",Wrigley Field
Chicago White Sox,AL,"1,115,655",79,"14,122","1,967,999","10,066","35,899","173,431","182,959","201,098","258,064","170,258","129,845",Comiskey Park I
Cincinnati Reds,NL,"2,062,528",80,"25,782","2,045,265","10,280","55,438","290,206","358,516","349,824","294,827","531,252","237,903",Cinergy Field
Cleveland Indians,AL,"1,421,790",79,"17,997","2,005,549","10,197","71,188","175,234","218,205","428,162","324,557","136,967","138,665",Cleveland Stadium
Detroit Tigers,AL,"2,081,102",79,"26,343","2,247,307","10,927","51,504","202,096","217,955","380,309","472,673","413,789","394,280",Tiger Stadium
Houston Astros,NL,"1,933,635",81,"23,872","1,909,917","10,452","43,521","290,251","280,840","377,756","276,570","479,158","229,060",Astrodome
Kansas City Royals,AL,"2,349,181",80,"29,365","1,870,795","16,600","41,377","248,110","448,679","419,169","381,908","545,226","306,089",Kauffman Stadium
Los Angeles Dodgers,NL,"2,980,262",78,"38,208","2,157,421","18,485","49,342","410,109","480,879","419,374","503,978","696,409","469,513",Dodger Stadium
Milwaukee Brewers,AL,"1,928,238",80,"24,103","1,937,501","10,148","55,887","191,631","295,877","396,225","350,608","460,975","232,922",County Stadium
Minnesota Twins,AL,"3,029,999",81,"37,407","1,980,518","15,151","53,067","393,535","421,765","450,430","531,467","567,607","665,195",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,478,659",81,"18,255","1,961,367","10,193","55,413","181,261","191,336","266,504","389,566","221,992","228,000",Stade Olympique
New York Mets,NL,"3,048,530",77,"39,591","2,554,049","14,931","52,231","257,967","495,684","633,176","530,103","544,714","586,886",Shea Stadium
New York Yankees,AL,"2,633,633",78,"33,765","2,558,965","16,227","55,802","381,391","367,370","493,165","427,960","517,482","446,265",Yankee Stadium I
Oakland Athletics,AL,"2,287,446",79,"28,955","2,250,429","14,005","45,333","212,474","428,473","378,909","306,495","477,892","483,203",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,990,042",78,"25,513","1,976,880","10,434","56,502","279,184","327,739","288,421","516,423","333,794","244,481",Veterans Stadium
Pittsburgh Pirates,NL,"1,865,713",80,"23,321","2,110,727","11,070","54,089","153,937","313,573","435,296","295,463","420,257","247,187",Three Rivers Stadium
San Diego Padres,NL,"1,508,563",81,"18,624","1,704,228","10,089","52,395","310,472","276,838","201,641","297,387","188,803","233,422",Qualcomm Stadium
San Francisco Giants,NL,"1,786,482",79,"22,614","2,063,932","10,137","54,543","333,366","296,070","236,930","435,029","270,727","214,360",Candlestick Park
Seattle Mariners,AL,"1,020,354",81,"12,597","1,848,023","10,071","35,321","140,411","233,296","170,467","177,027","164,373","134,780",Kingdome
St. Louis Cardinals,NL,"2,892,089",81,"35,705","2,071,492","18,902","51,647","350,687","652,878","539,208","487,251","471,335","390,730",Busch Stadium II
Texas Rangers,AL,"1,582,084",80,"19,776","1,885,684","10,166","42,028","250,921","323,274","297,954","299,419","260,862","149,654",Arlington Stadium
Toronto Blue Jays,AL,"2,595,275",81,"32,040","1,972,366","20,202","45,472","338,258","344,165","498,951","421,517","454,565","537,819",Exhibition Stadium
California Angels,AL,"2,340,905",80,"29,261","1,894,567","20,207","48,198","285,350","467,400","382,617","398,951","379,813","426,774",Angel Stadium of Anaheim
