Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
Birmingham Black Barons,,,29.4,27.0,100,100,1,6,5,,,Davis
Baltimore Elite Giants,,,29.8,28.9,100,100,0,6,10,,,Walker
Boston Red Sox,"1,558,798","19,985",29.5,30.1,105,102,2,5,15,"$324,950",2:16,McCarthy
Brooklyn Dodgers,"1,398,967","17,935",26.2,26.3,104,101,6,2,12,,2:29,"Durocher, Blades and Shotton"
Boston Braves,"1,455,439","19,151",29.6,29.6,99,98,1,5,14,,2:18,Southworth
Chicago American Giants,,,26.3,29.6,100,100,0,6,5,,,Trouppe
Cleveland Buckeyes,,,27.3,27.4,100,100,0,3,13,,,Boone
Chicago Cubs,"1,237,792","15,869",28.1,27.4,95,98,0,4,11,,2:14,Grimm
Chicago White Sox,"777,844","10,235",30.4,28.5,96,99,1,1,6,"$154,800",2:10,Lyons
Cincinnati Reds,"823,386","10,693",28.4,28.3,97,99,0,1,12,,2:16,Neun and Walters
Cleveland Indians,"2,620,627","33,172",28.6,29.2,97,95,6,5,15,"$189,700",2:17,Boudreau
Detroit Tigers,"1,743,035","22,637",28.2,27.6,103,102,2,4,15,"$174,121",2:09,O'Neill
Homestead Grays,,,30.6,30.6,100,100,1,6,5,,,Harris
Indianapolis Clowns,,,28.4,29.4,100,100,0,3,9,,,Ramírez and Haywood
Kansas City Monarchs,,,27.2,27.6,100,100,3,6,10,,,O'Neil
Memphis Red Sox,,,31.7,36.5,100,100,1,6,8,,,Brown
New York Black Yankees,,,30.7,31.8,100,100,0,3,6,,,Barker
Newark Eagles,,,25.8,26.6,100,100,1,6,7,,,Bell
New York Cubans,,,27.8,28.1,100,100,1,5,9,,,Fernández and Welch
New York Giants,"1,459,269","18,952",27.7,27.3,101,100,1,6,14,,2:21,Ott and Durocher
New York Yankees,"2,373,901","30,830",29.7,28.9,99,95,3,6,20,"$231,425",2:16,Harris
Philadelphia Athletics,"945,076","12,274",30.0,26.4,101,101,1,2,9,"$114,000",2:14,Mack
Philadelphia Phillies,"767,429","10,098",26.9,30.9,97,99,2,1,18,,2:14,"Chapman, Cooke and Sawyer"
Pittsburgh Pirates,"1,517,021","18,963",28.8,31.9,102,103,1,3,11,,2:18,Meyer
Philadelphia Stars,,,29.4,33.6,100,100,0,4,11,,,Charleston
St. Louis Browns,"335,564","4,415",27.1,26.4,102,106,0,1,4,,2:11,Taylor
St. Louis Cardinals,"1,111,440","14,434",28.8,30.2,106,103,4,5,14,,2:17,Dyer
Washington Nationals,"795,254","10,196",28.5,29.8,97,101,1,2,7,,2:11,Kuhel
