team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"875,902",74,"11,837","1,593,059","1,192","45,007","104,232","126,069","142,868","242,056","166,417","94,260",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,033,755",72,"14,358","1,495,199","10,023","38,542","118,133","149,288","193,399","216,143","247,434","109,358",Memorial Stadium
Boston Red Sox,AL,"2,320,210",77,"30,133","2,165,142","15,784","36,246","234,432","363,417","411,779","337,229","485,670","487,683",Fenway Park
Chicago Cubs,NL,"1,495,983",74,"20,216","1,628,620","10,177","45,777","117,220","170,875","329,897","226,565","431,151","220,275",Wrigley Field
Chicago White Sox,AL,"1,491,100",76,"19,620","1,326,719","10,408","50,754","197,683","226,833","324,840","439,194","181,816","120,734",Comiskey Park I
Cincinnati Reds,NL,"2,532,497",75,"33,767","2,320,636","16,094","52,378","248,685","375,946","392,946","687,873","491,075","335,972",Cinergy Field
Cleveland Indians,AL,"807,123",70,"11,530","1,318,188","10,035","52,433","74,030","139,097","177,688","232,445","107,872","75,991",Cleveland Stadium
Detroit Tigers,AL,"1,714,843",76,"22,564","1,430,417","10,530","52,528","136,620","265,250","355,225","306,854","455,673","195,221",Tiger Stadium
Houston Astros,NL,"1,128,233",78,"14,465","1,422,493","10,012","46,215","226,628","175,198","223,613","246,355","162,794","93,645",Astrodome
Kansas City Royals,AL,"2,255,493",80,"28,194","1,487,111","14,737","40,903","213,415","329,538","391,618","500,576","356,567","463,779",Kauffman Stadium
Los Angeles Dodgers,NL,"3,347,803",80,"41,848","2,146,359","18,355","52,869","388,554","595,567","524,818","572,474","628,346","638,044",Dodger Stadium
Milwaukee Brewers,AL,"1,581,834",74,"21,376","1,389,159","10,004","52,968","108,268","187,497","318,417","419,767","359,598","188,287",County Stadium
Minnesota Twins,AL,"787,880",73,"10,793","1,316,707","1,935","30,896","90,134","74,069","95,695","271,563","152,655","103,764",Metropolitan Stadium
Montreal Expos,NL,"1,427,181",76,"18,779","1,455,286","10,147","48,389","140,629","200,943","361,799","269,102","319,111","135,597",Stade Olympique
New York Mets,NL,"1,007,867",73,"13,806","1,440,082","10,061","51,220","139,067","128,687","236,834","235,063","190,660","77,556",Shea Stadium
New York Yankees,AL,"2,424,399",77,"31,486","2,063,832","11,271","56,078","188,674","381,447","381,721","439,889","475,299","557,369",Yankee Stadium I
Oakland Athletics,AL,"527,017",72,"7,320","1,411,277","1,350","36,463","60,899","74,474","164,083","80,299","112,132","35,130",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,582,409",77,"33,538","1,575,634","11,651","58,367","267,450","348,826","516,487","503,155","550,265","396,226",Veterans Stadium
Pittsburgh Pirates,NL,"964,106",70,"13,773","1,637,983","10,008","45,134","106,357","105,863","182,037","144,107","181,378","244,364",Three Rivers Stadium
San Diego Padres,NL,"1,669,349",78,"21,402","1,523,683","10,004","49,744","206,477","352,615","304,584","195,882","367,044","242,747",Qualcomm Stadium
San Francisco Giants,NL,"1,738,855",74,"23,498","1,821,364","10,459","56,103","199,314","271,978","327,965","296,088","348,385","295,125",Candlestick Park
Seattle Mariners,AL,"866,906",77,"11,259","1,125,504","10,229","45,235","180,417","135,360","155,807","133,028","183,594","78,700",Kingdome
St. Louis Cardinals,NL,"1,278,221",78,"16,387","1,483,207","10,543","40,764","172,299","178,017","203,735","299,695","249,016","175,459",Busch Stadium II
Texas Rangers,AL,"1,447,963",75,"19,306","1,395,202","10,526","40,078","251,551","221,352","352,528","281,625","230,932","109,975",Arlington Stadium
Toronto Blue Jays,AL,"1,562,509",73,"21,404","1,295,456","10,108","44,327","195,552","272,849","288,835","224,847","267,618","312,808",Exhibition Stadium
California Angels,AL,"1,755,386",77,"22,797","1,356,505","10,074","41,723","225,274","230,588","336,189","322,210","386,349","254,776",Angel Stadium of Anaheim
