Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Red Sox,"597,096","7,655",26.1,25.2,104,101,2,0,0,,Stahl
Brooklyn Dodgers,"243,000","3,197",25.9,26.1,96,98,2,0,0,"$63,028",Dahlen
Boston Braves,"121,000","1,532",27.5,29.3,100,104,1,0,0,"$64,400",Kling
Chicago Cubs,"514,000","6,590",28.6,28.0,99,97,4,0,0,"$96,656",Chance
Chicago White Sox,"602,241","7,721",26.8,28.2,97,96,2,0,0,,Callahan
Cincinnati Reds,"344,000","4,468",26.4,26.9,98,99,0,0,0,"$83,680",O'Day
Cleveland Naps,"336,844","4,375",26.4,24.0,104,103,1,0,0,,Davis and Birmingham
Detroit Tigers,"402,870","5,301",26.9,26.6,97,98,3,0,0,,Jennings
New York Giants,"638,000","8,395",25.8,27.3,104,100,2,0,0,"$70,480",McGraw
New York Highlanders,"242,194","3,187",26.7,26.7,106,109,0,0,0,,Wolverton
Philadelphia Athletics,"517,653","6,723",25.8,27.3,96,92,6,0,0,,Mack
Philadelphia Phillies,"250,000","3,333",28.5,25.4,106,106,2,0,0,"$55,800",Dooin
Pittsburgh Pirates,"384,000","5,120",27.4,25.6,100,97,3,0,0,"$78,328",Clarke
St. Louis Browns,"214,070","2,710",27.7,25.8,96,100,1,0,0,"$28,088",Wallace and Stovall
St. Louis Cardinals,"241,759","3,140",26.1,25.0,97,100,2,0,0,"$67,988",Bresnahan
Washington Nationals,"350,663","4,496",25.9,25.9,101,101,2,0,0,,Griffith
