Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Homestead Grays,47,19,3,.712,5.0,3.7,1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,St. Louis Cardinals,106,48,2,.688,4.8,3.1,1.8,-0.2,1.5,107-47,-1,60-17,46-31,12-5,25-24,74-25,32-23,43-23,63-25
3,New York Yankees,103,51,0,.669,5.2,3.3,1.9,-0.2,1.7,107-47,-4,58-19,45-32,9-7,22-22,78-40,25-11,25-19,78-32
4,Cincinnati-Cleveland Buckeyes,39,21,1,.650,4.3,4.8,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,Kansas City Monarchs,27,12,0,.692,5.4,3.5,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Brooklyn Dodgers,104,50,1,.675,4.8,3.3,1.5,-0.2,1.3,102-52,2,57-22,47-28,13-7,27-17,69-34,35-16,38-28,66-22
7,Boston Red Sox,93,59,0,.612,5.0,3.9,1.1,-0.1,1.0,93-59,0,53-24,40-35,10-6,30-23,81-55,12-4,23-21,70-38
8,Baltimore Elite Giants,36,26,0,.581,5.0,4.5,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,New York Giants,85,67,2,.559,4.4,3.9,0.5,-0.1,0.4,84-68,1,47-31,38-36,8-9,21-18,62-47,23-20,28-38,57-29
10,Birmingham Black Barons,27,22,0,.551,4.4,3.9,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,St. Louis Browns,82,69,0,.543,4.8,4.2,0.6,-0.1,0.5,85-66,-3,40-37,42-32,8-5,22-26,66-56,16-13,18-26,64-43
12,Newark Eagles,28,30,3,.483,5.6,4.3,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Cincinnati Reds,76,76,2,.500,3.4,3.5,-0.1,0.0,-0.1,74-78,2,38-39,38-37,9-17,24-25,75-75,1-1,23-43,53-33
14,Memphis Red Sox,21,22,1,.488,5.3,4.6,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,Cleveland Indians,75,79,2,.487,3.8,4.2,-0.4,0.1,-0.4,69-85,6,39-39,36-40,11-7,30-17,56-63,19-16,24-42,51-37
16,Philadelphia Stars,26,30,2,.464,5.4,5.0,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Tigers,73,81,2,.474,3.8,3.8,0.0,0.0,0.0,77-77,-4,43-34,30-47,6-12,20-30,59-76,14-5,25-41,48-40
18,Pittsburgh Pirates,66,81,4,.449,3.9,4.2,-0.3,0.1,-0.2,68-79,-2,41-34,25-47,9-8,20-21,49-61,17-20,30-57,36-24
19,New York Black Yankees,10,25,1,.286,3.7,5.7,-2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Jacksonville Red Caps,7,22,0,.241,2.5,5.8,-3.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Chicago White Sox,66,82,0,.446,3.6,4.1,-0.5,0.1,-0.4,66-82,0,35-35,31-47,5-11,19-31,56-74,10-8,21-41,45-41
22,Chicago Cubs,68,86,1,.442,3.8,4.3,-0.5,0.1,-0.4,69-85,-1,36-41,32-45,8-12,21-24,53-64,15-22,34-54,34-32
23,New York Cubans,9,27,1,.250,3.0,5.5,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Chicago American Giants,7,29,0,.194,3.3,6.2,-2.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Washington Nationals,62,89,0,.411,4.3,5.4,-1.1,0.1,-1.0,60-91,2,35-42,27-47,7-11,24-21,45-64,17-25,23-42,39-47
26,Boston Braves,59,89,2,.399,3.4,4.3,-0.9,0.1,-0.8,59-89,0,33-36,26-53,9-9,24-27,47-70,12-19,25-60,34-29
27,Philadelphia Athletics,55,99,0,.357,3.6,5.2,-1.6,0.2,-1.4,51-103,4,25-51,30-48,8-5,29-26,45-80,10-19,20-46,35-53
28,Philadelphia Phils,42,109,0,.278,2.6,4.7,-2.1,0.3,-1.8,39-112,3,23-51,19-58,9-10,23-29,36-96,6-13,20-68,22-41
,Average,53,53,1,.500,4.2,4.4,,,,53-53,,23-19,19-23,5-5,13-13,33-35,9-8,15-23,28-20
