Tm,W,L,W-L%,GB
Milwaukee Brewers,95,67,.586,--
Baltimore Orioles,94,68,.580,1.0
Boston Red Sox,89,73,.549,6.0
Detroit Tigers,83,79,.512,12.0
New York Yankees,79,83,.488,16.0
Cleveland Indians,78,84,.481,17.0
Toronto Blue Jays,78,84,.481,17.0
California Angels,93,69,.574,--
Kansas City Royals,90,72,.556,3.0
Chicago White Sox,87,75,.537,6.0
Seattle Mariners,76,86,.469,17.0
Oakland Athletics,68,94,.420,25.0
Texas Rangers,64,98,.395,29.0
Minnesota Twins,60,102,.370,33.0
St. Louis Cardinals,92,70,.568,--
Philadelphia Phillies,89,73,.549,3.0
Montreal Expos,86,76,.531,6.0
Pittsburgh Pirates,84,78,.519,8.0
Chicago Cubs,73,89,.451,19.0
New York Mets,65,97,.401,27.0
Atlanta Braves,89,73,.549,--
Los Angeles Dodgers,88,74,.543,1.0
San Francisco Giants,87,75,.537,2.0
San Diego Padres,81,81,.500,8.0
Houston Astros,77,85,.475,12.0
Cincinnati Reds,61,101,.377,28.0
