team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"2,305,467",81,"28,463","2,143,937","14,035","43,690","360,402","269,500","348,364","451,639","483,665","391,897",Angel Stadium of Anaheim
Arizona Diamondbacks,NL,"3,198,975",81,"39,494","2,696,935","29,171","48,042","401,740","652,008","458,217","564,451","602,050","520,509",Chase Field
Atlanta Braves,NL,"2,603,484",81,"32,142","2,129,213","18,931","51,638","489,316","374,118","444,723","509,420","392,470","393,437",Turner Field
Baltimore Orioles,AL,"2,681,439",81,"33,104","2,023,687","20,279","48,937","347,164","441,786","555,628","382,759","430,095","524,007",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,650,859",81,"32,727","2,474,045","30,021","34,175","393,195","461,742","360,223","495,101","498,444","442,154",Fenway Park
Chicago Cubs,NL,"2,694,946",78,"34,551","2,621,916","18,151","41,555","398,323","354,824","518,238","516,368","520,352","386,841",Wrigley Field
Chicago White Sox,AL,"1,675,591",81,"20,686","2,075,770","10,246","46,027","212,543","353,192","325,312","291,336","307,659","185,549",Guaranteed Rate Field
Cincinnati Reds,NL,"1,855,775",80,"23,197","2,312,745","12,867","41,913","293,503","218,427","347,339","363,201","368,100","265,205",Cinergy Field
Cleveland Indians,AL,"2,621,940",81,"32,370","1,930,741","23,536","42,631","304,698","481,467","444,842","485,627","580,406","324,900",Progressive Field
Colorado Rockies,NL,"2,740,614",81,"33,835","2,373,238","25,330","50,392","507,263","518,846","453,948","404,345","501,080","355,132",Coors Field
Detroit Tigers,AL,"1,503,353",80,"18,792","2,033,451","10,469","41,248","219,298","181,629","307,174","259,454","311,921","223,877",Comerica Park
Florida Marlins,NL,"813,127",81,"10,039","2,036,110","10,125","33,291","157,878","97,663","163,080","161,858","125,027","107,621",Sun Life Stadium
Houston Astros,NL,"2,512,357",81,"31,017","2,244,451","21,528","43,332","307,301","546,517","400,176","400,312","533,195","324,856",Minute Maid Park
Kansas City Royals,AL,"1,323,036",77,"17,182","2,169,556","10,106","40,605","213,432","176,289","263,200","242,865","269,409","157,841",Kauffman Stadium
Los Angeles Dodgers,NL,"3,131,255",81,"38,657","2,450,447","21,408","54,344","400,536","564,754","593,607","483,960","590,920","497,478",Dodger Stadium
Milwaukee Brewers,NL,"1,969,153",81,"24,311","2,112,329","14,090","43,005","253,944","424,696","333,179","279,869","414,802","262,663",American Family Field
Minnesota Twins,AL,"1,924,354",81,"23,757","2,143,252","10,205","48,244","228,002","298,390","416,642","293,135","419,881","268,304",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"812,537",81,"10,031","1,982,215","10,180","34,351","130,275","99,149","99,226","194,576","154,422","134,889",Stade Olympique
New York Mets,NL,"2,804,838",78,"35,959","2,156,577","21,007","55,141","526,888","410,586","470,720","543,994","441,965","410,685",Shea Stadium
New York Yankees,AL,"3,465,807",80,"43,323","2,940,029","26,506","55,771","380,650","592,015","675,069","547,550","635,510","635,013",Yankee Stadium I
Oakland Athletics,AL,"2,169,816",81,"26,788","2,416,169","10,129","55,528","382,099","245,329","366,963","406,114","320,255","449,056",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,618,467",79,"20,487","2,222,297","12,138","58,493","228,601","261,728","277,823","348,853","306,317","195,145",Veterans Stadium
Pittsburgh Pirates,NL,"1,784,970",79,"22,595","2,149,113","10,752","38,275","287,117","277,878","327,639","345,785","328,334","218,217",PNC Park
San Diego Padres,NL,"2,221,230",81,"27,423","2,417,274","12,402","60,021","323,317","419,631","510,619","348,224","333,349","286,090",Qualcomm Stadium
San Francisco Giants,NL,"3,253,203",81,"40,163","2,673,722","33,483","42,005","435,508","629,864","521,167","536,301","496,501","633,862",Oracle Park
Seattle Mariners,AL,"3,539,938",81,"43,703","2,233,138","31,082","46,219","619,771","508,240","585,061","724,777","549,558","552,531",T-Mobile Park
St. Louis Cardinals,NL,"3,011,756",81,"37,182","2,314,811","25,363","48,730","334,486","620,064","548,819","490,634","455,479","562,274",Busch Stadium II
Tampa Bay Devil Rays,AL,"1,065,742",81,"13,157","2,128,057","10,116","38,142","168,558","177,809","165,783","229,965","120,563","203,064",Tropicana Field
Texas Rangers,AL,"2,352,397",80,"29,405","2,250,966","18,066","49,617","440,076","310,635","445,188","470,114","377,785","308,599",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,638,170",81,"20,224","2,088,405","12,571","47,469","221,774","290,180","255,106","241,394","380,463","249,253",Rogers Centre
