Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,67,34,3,.663,6.5,5.1,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Homestead Grays,42,24,1,.636,5.0,5.0,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Cleveland Indians,97,58,1,.626,5.4,3.6,1.7,-0.2,1.5,104-51,-7,48-30,49-28,8-4,10-20,68-41,29-17,51-38,46-20
4,Boston Braves,91,62,1,.595,4.8,3.8,1.0,-0.1,0.9,93-60,-2,45-31,46-31,3-6,28-20,51-36,40-26,48-40,43-22
5,Birmingham Black Barons,63,28,2,.692,6.6,4.7,1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Baltimore Elite Giants,49,29,2,.628,5.4,3.6,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Boston Red Sox,96,59,0,.619,5.9,4.6,1.2,-0.1,1.1,94-61,2,55-23,41-36,6-7,21-16,70-44,26-15,52-37,44-22
8,St. Louis Cardinals,85,69,1,.552,4.8,4.2,0.6,-0.1,0.5,87-67,-2,44-33,41-36,5-3,18-24,46-40,39-29,45-43,40-26
9,New York Yankees,94,60,0,.610,5.6,4.1,1.5,-0.2,1.3,98-56,-4,50-27,44-33,6-6,19-17,67-44,27-16,45-43,49-17
10,Brooklyn Dodgers,84,70,1,.545,4.8,4.3,0.5,-0.1,0.4,84-70,0,36-41,48-29,6-5,27-18,53-48,31-22,40-48,44-22
11,Newark Eagles,31,29,1,.517,3.8,3.9,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Cleveland Buckeyes,48,54,3,.471,5.5,6.5,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Philadelphia Athletics,84,70,0,.545,4.7,4.8,0.0,0.0,0.0,76-78,8,36-41,48-29,8-6,23-15,63-52,21-18,36-52,48-18
14,Pittsburgh Pirates,83,71,2,.539,4.5,4.5,0.0,0.0,0.0,78-76,5,47-31,36-40,2-4,26-21,73-58,10-13,46-42,37-29
15,Philadelphia Stars,30,31,1,.492,4.3,4.2,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Indianapolis Clowns,40,61,5,.396,4.0,6.5,-2.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Tigers,78,76,0,.506,4.5,4.7,-0.2,0.0,-0.2,74-80,4,39-38,39-38,8-7,22-23,60-56,18-20,37-51,41-25
18,New York Giants,78,76,1,.506,5.0,4.5,0.5,-0.1,0.4,84-70,-6,37-40,41-36,5-4,17-26,45-56,33-20,41-47,37-29
19,Chicago American Giants,38,57,1,.400,5.5,7.6,-2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,New York Cubans,19,29,1,.396,4.9,4.7,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Philadelphia Phillies,66,88,1,.429,3.8,4.7,-0.9,0.1,-0.8,62-92,4,32-44,34-44,2-8,19-24,48-61,18-27,40-70,26-18
22,Memphis Red Sox,43,65,4,.398,5.0,7.7,-2.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
23,St. Louis Browns,59,94,2,.386,4.3,5.5,-1.1,0.1,-1.0,60-93,-1,34-42,25-52,4-9,21-28,39-71,20-23,36-74,23-20
24,New York Black Yankees,9,38,0,.191,3.0,6.3,-3.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Cincinnati Reds,64,89,0,.418,3.8,4.9,-1.1,0.1,-0.9,60-93,4,32-45,32-44,5-0,23-24,30-44,34-45,41-68,23-21
26,Washington Nationals,56,97,1,.366,3.8,5.2,-1.4,0.2,-1.2,55-98,1,29-48,27-49,6-11,25-22,42-62,14-35,32-78,24-19
27,Chicago Cubs,64,90,1,.416,3.9,4.5,-0.7,0.1,-0.6,65-89,-1,35-42,29-48,3-1,19-20,45-63,19-27,47-63,17-27
28,Chicago White Sox,51,101,2,.336,3.6,5.3,-1.7,0.2,-1.5,51-101,0,27-48,24-53,8-4,22-22,38-77,13-24,34-76,17-25
,Average,61,61,1,.500,4.7,5.0,,,,59-62,,22-21,21-22,3-3,12-12,29-30,14-13,23-31,19-12
