team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"2,253,040",81,"27,815","2,205,411","16,165","43,911","314,487","389,316","296,816","383,991","425,888","442,542",Angel Stadium of Anaheim
Arizona Diamondbacks,NL,"3,015,948",81,"37,234","2,446,494","28,103","48,053","343,696","424,743","756,041","340,302","547,077","604,089",Chase Field
Atlanta Braves,NL,"3,284,901",81,"40,554","2,482,171","26,990","50,203","393,563","663,232","566,387","501,930","520,916","638,873",Turner Field
Baltimore Orioles,AL,"3,432,099",80,"42,901","2,198,721","34,347","48,544","527,358","454,469","544,297","655,995","463,392","786,588",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,446,277",81,"30,201","2,395,875","18,809","33,777","250,573","416,554","545,123","339,961","524,186","369,880",Fenway Park
Chicago Cubs,NL,"2,813,854",78,"36,075","2,800,560","17,999","40,553","232,551","514,813","410,999","425,878","612,746","616,867",Wrigley Field
Chicago White Sox,AL,"1,338,851",76,"17,616","2,311,098","10,022","44,153","123,832","166,436","264,718","370,730","217,183","195,952",Guaranteed Rate Field
Cincinnati Reds,NL,"2,061,324",82,"25,138","2,243,007","13,943","55,112","246,709","287,238","356,938","410,693","379,936","379,810",Cinergy Field
Cleveland Indians,AL,"3,468,436",81,"42,820","2,449,524","40,582","43,399","339,307","716,621","646,132","644,602","560,959","560,815",Progressive Field
Colorado Rockies,NL,"3,481,065",81,"42,976","2,273,031","36,483","48,876","215,104","546,382","655,498","781,757","613,332","668,992",Coors Field
Detroit Tigers,AL,"2,026,491",81,"25,018","2,151,179","11,818","47,449","179,252","328,732","391,863","323,902","370,177","432,565",Tiger Stadium
Florida Marlins,NL,"1,369,420",78,"17,557","2,150,866","10,223","42,110","280,707","246,638","239,355","205,425","208,911","188,384",Sun Life Stadium
Houston Astros,NL,"2,706,017",81,"33,408","2,056,627","17,064","54,037","363,302","341,461","536,424","443,782","482,256","538,792",Astrodome
Kansas City Royals,AL,"1,501,292",78,"19,247","2,208,518","10,781","40,257","201,026","247,421","352,161","218,261","258,322","224,101",Kauffman Stadium
Los Angeles Dodgers,NL,"3,098,990",81,"38,259","2,616,419","23,616","54,731","483,250","479,986","549,380","601,390","475,125","509,859",Dodger Stadium
Milwaukee Brewers,NL,"1,701,790",78,"21,818","2,055,617","10,575","55,992","191,141","238,774","291,998","236,968","345,861","397,048",County Stadium
Minnesota Twins,AL,"1,202,829",81,"14,850","2,246,949","10,681","45,601","204,133","190,626","150,738","265,382","209,485","182,465",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"772,737",81,"9,540","2,309,496","10,091","43,918","153,754","111,290","112,237","129,860","165,878","99,718",Stade Olympique
New York Mets,NL,"2,726,008",79,"34,506","2,593,245","14,165","53,869","259,213","428,661","304,819","657,430","487,259","588,626",Shea Stadium
New York Yankees,AL,"3,293,259",81,"40,658","2,679,059","23,404","56,583","398,003","493,853","568,959","653,785","667,824","510,835",Yankee Stadium I
Oakland Athletics,AL,"1,434,632",81,"17,712","2,237,626","10,047","51,263","186,136","205,616","137,286","314,597","346,131","244,866",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,825,337",80,"22,817","2,289,870","11,032","58,086","156,681","305,887","311,285","432,568","343,457","275,459",Veterans Stadium
Pittsburgh Pirates,NL,"1,638,023",80,"20,475","2,170,274","10,051","43,519","229,314","286,500","165,664","398,094","362,332","196,119",Three Rivers Stadium
San Diego Padres,NL,"2,523,538",81,"31,155","2,447,329","12,713","61,674","449,732","343,039","549,654","428,428","378,955","373,730","Estadio Monterrey, Qualcomm Stadium"
San Francisco Giants,NL,"2,078,365",81,"25,659","2,431,455","10,249","61,389","253,949","247,763","475,772","383,207","275,930","441,744",Candlestick Park
Seattle Mariners,AL,"2,915,908",81,"35,999","2,437,080","19,617","56,530","383,840","370,981","344,583","442,416","748,242","625,846","Kingdome, T-Mobile Park"
St. Louis Cardinals,NL,"3,235,833",79,"40,960","2,820,609","27,476","49,085","340,162","551,561","546,028","614,737","670,375","512,970",Busch Stadium II
Tampa Bay Devil Rays,AL,"1,562,967",81,"19,296","2,207,319","12,278","38,215","215,069","228,000","211,563","316,698","279,790","311,847",Tropicana Field
Texas Rangers,AL,"2,774,501",80,"34,681","2,070,161","23,175","47,204","365,223","494,294","305,208","509,860","545,245","554,671",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,163,486",81,"26,710","2,161,628","20,258","40,175","267,364","387,734","423,096","401,362","370,787","313,143",Rogers Centre
