team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"981,083",75,"13,081","1,662,531","1,562","53,775","144,008","75,619","285,233","242,409","165,547","68,267",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"962,620",74,"13,008","1,288,205","10,016","38,253","144,062","73,108","200,244","208,563","131,594","205,049",Memorial Stadium
Boston Red Sox,AL,"1,558,391",78,"19,979","1,196,012","10,673","35,866","144,956","195,365","234,444","374,711","327,274","281,641",Fenway Park
Chicago Cubs,NL,"1,015,378",74,"13,721","1,244,563","1,751","30,601","113,061","178,760","207,981","276,128","155,979","83,469",Wrigley Field
Chicago White Sox,AL,"1,166,453",76,"15,348","1,083,202","1,969","47,993","175,903","103,925","243,739","263,965","285,371","93,550",Comiskey Park I
Cincinnati Reds,NL,"2,134,250",74,"28,841","1,660,069","10,186","52,154","223,026","246,690","349,686","588,133","366,360","360,355",Cinergy Field
Cleveland Indians,AL,"1,111,450",73,"15,225","944,142","1,405","49,419","77,957","126,276","245,850","330,757","225,404","105,206",Cleveland Stadium
Detroit Tigers,AL,"1,245,346",75,"16,605","1,044,894","10,035","44,047","104,218","109,301","317,572","261,581","312,755","139,919",Tiger Stadium
Houston Astros,NL,"1,093,105",80,"13,664","1,197,076","10,034","43,552","168,548","175,166","209,917","295,408","147,530","96,536",Astrodome
Kansas City Royals,AL,"1,174,292",78,"15,055","928,416","10,221","39,474","123,474","244,486","239,359","158,034","247,924","161,015",Kauffman Stadium
Los Angeles Dodgers,NL,"2,629,474",80,"32,868","1,861,392","14,284","54,038","355,823","311,520","512,429","360,232","542,806","546,664",Dodger Stadium
Milwaukee Brewers,AL,"938,822",72,"13,039","1,044,893","10,505","46,812","88,539","124,318","212,606","209,065","223,784","80,510",County Stadium
Minnesota Twins,AL,"667,511",77,"8,669","955,440","10,182","34,145","45,443","83,794","113,813","183,804","173,871","66,786",Metropolitan Stadium
Montreal Expos,NL,"1,019,132",70,"14,559","1,270,094","10,007","30,416","36,822","122,191","241,055","181,086","298,810","139,168",Parc Jarry
New York Mets,NL,"1,727,328",71,"24,329","1,350,613","11,225","50,653","107,182","273,136","391,025","325,347","393,526","237,112",Shea Stadium
New York Yankees,AL,"1,290,480",72,"17,923","1,228,699","10,162","51,906","143,600","130,800","175,191","248,579","258,260","334,050",Shea Stadium
Oakland Athletics,AL,"836,662",76,"11,009","1,536,631","10,084","47,582","66,473","97,247","156,627","214,027","148,917","153,371",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,792,067",76,"23,580","1,248,795","10,105","55,066","136,850","295,893","343,977","390,565","403,097","221,685",Veterans Stadium
Pittsburgh Pirates,NL,"1,110,737",72,"15,427","1,505,594","10,482","45,181","105,592","140,805","134,986","188,961","282,018","258,375",Three Rivers Stadium
San Diego Padres,NL,"1,075,471",76,"14,151","1,131,575","10,649","44,504","177,218","247,439","215,621","175,706","101,821","157,666",Qualcomm Stadium
San Francisco Giants,NL,"519,991",74,"7,027","1,409,099","1,192","22,526","109,717","109,615","90,205","59,053","85,363","66,038",Candlestick Park
St. Louis Cardinals,NL,"1,838,413",76,"24,190","1,395,028","10,587","48,245","197,702","239,727","259,257","381,856","371,339","388,532",Busch Stadium II
Texas Rangers,AL,"1,193,867",76,"15,709","941,343","10,031","39,269","154,653","187,654","285,124","210,165","216,240","140,031",Arlington Stadium
California Angels,AL,"905,399",77,"11,758","859,416","10,029","41,760","122,386","214,734","157,877","186,157","141,322","82,923",Angel Stadium of Anaheim
