Tm,W,L,W-L%,GB
Tampa Bay Rays,96,66,.593,--
New York Yankees,95,67,.586,1.0
Boston Red Sox,89,73,.549,7.0
Toronto Blue Jays,85,77,.525,11.0
Baltimore Orioles,66,96,.407,30.0
Minnesota Twins,94,68,.580,--
Chicago White Sox,88,74,.543,6.0
Detroit Tigers,81,81,.500,13.0
Cleveland Indians,69,93,.426,25.0
Kansas City Royals,67,95,.414,27.0
Texas Rangers,90,72,.556,--
Oakland Athletics,81,81,.500,9.0
Los Angeles Angels of Anaheim,80,82,.494,10.0
Seattle Mariners,61,101,.377,29.0
Philadelphia Phillies,97,65,.599,--
Atlanta Braves,91,71,.562,6.0
Florida Marlins,80,82,.494,17.0
New York Mets,79,83,.488,18.0
Washington Nationals,69,93,.426,28.0
Cincinnati Reds,91,71,.562,--
St. Louis Cardinals,86,76,.531,5.0
Milwaukee Brewers,77,85,.475,14.0
Houston Astros,76,86,.469,15.0
Chicago Cubs,75,87,.463,16.0
Pittsburgh Pirates,57,105,.352,34.0
San Francisco Giants,92,70,.568,--
San Diego Padres,90,72,.556,2.0
Colorado Rockies,83,79,.512,9.0
Los Angeles Dodgers,80,82,.494,12.0
Arizona Diamondbacks,65,97,.401,27.0
