team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"1,605,199",81,"19,817","2,363,768","10,495","37,802","242,605","325,623","245,217","248,891","249,777","293,086",Chase Field
Atlanta Braves,NL,"3,129,931",81,"38,641","2,257,309","29,339","42,925","482,314","564,510","511,265","637,116","410,879","523,847",Truist Park
Baltimore Orioles,AL,"1,368,367",78,"17,543","2,116,701","10,201","44,461","190,905","205,755","155,577","268,139","236,584","311,407",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,625,089",81,"32,409","2,114,619","24,809","37,291","233,414","571,379","332,032","591,639","400,569","496,056",Fenway Park
Chicago Cubs,NL,"2,616,780",81,"32,306","2,352,603","23,425","40,755","303,339","491,989","525,600","386,402","456,220","453,230",Wrigley Field
Chicago White Sox,AL,"2,009,359",81,"24,807","1,725,250","11,242","38,080","219,657","328,932","333,036","374,550","369,970","383,214",Guaranteed Rate Field
Cincinnati Reds,NL,"1,395,770",80,"17,447","2,426,421","10,046","43,036","155,901","198,184","246,488","426,790","148,349","220,058","Great American Ballpark, Field of Dreams"
Colorado Rockies,NL,"2,597,428",80,"32,468","2,224,141","19,387","48,627","399,378","410,744","478,265","561,268","351,508","396,265",Coors Field
Detroit Tigers,AL,"1,575,544",80,"19,694","1,827,580","10,522","43,480","255,388","244,602","264,898","276,403","288,160","246,093",Comerica Park
Houston Astros,AL,"2,688,998",81,"33,198","2,008,960","23,752","42,646","214,273","434,542","397,891","563,213","481,243","597,836",Minute Maid Park
Kansas City Royals,AL,"1,277,686",80,"15,971","1,797,947","10,003","29,689","194,972","168,561","258,881","207,839","267,700","179,733",Kauffman Stadium
Los Angeles Dodgers,NL,"3,861,408",81,"47,672","2,529,494","35,643","53,432","441,948","612,786","545,075","805,081","536,135","920,383",Dodger Stadium
Milwaukee Brewers,NL,"2,422,420",80,"30,280","2,210,509","18,612","42,794","271,585","290,298","426,180","394,280","483,952","556,125",American Family Field
Minnesota Twins,AL,"1,801,128",80,"22,514","1,825,897","11,803","39,030","210,249","292,210","298,570","252,234","484,290","263,575",Target Field
New York Mets,NL,"2,564,737",77,"33,308","2,346,402","22,007","43,857","265,022","457,914","322,573","418,993","642,184","458,051",Citi Field
New York Yankees,AL,"3,136,207",78,"40,208","2,463,881","25,068","49,217","460,008","374,247","704,593","437,585","521,508","638,266",Yankee Stadium II
Oakland Athletics,AL,"787,902",79,"9,973","2,108,558","10,058","40,065","75,215","123,365","102,332","114,373","234,864","137,753",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,276,736",80,"28,459","2,364,671","17,145","44,232","367,640","340,968","390,486","350,021","521,794","305,827",Citizens Bank Park
Pittsburgh Pirates,NL,"1,257,458",81,"15,524","2,279,671","10,014","38,781","138,727","164,728","203,659","300,453","195,750","254,141",PNC Park
San Diego Padres,NL,"2,987,470",81,"36,882","2,380,379","23,828","44,930","383,104","466,902","502,376","473,796","501,172","660,120",Petco Park
San Francisco Giants,NL,"2,482,686",81,"30,650","2,317,672","20,039","41,279","329,515","419,512","420,490","436,287","414,368","462,514",Oracle Park
Seattle Mariners,AL,"2,287,267",80,"28,591","1,860,826","11,067","45,586","224,458","280,039","367,825","409,370","477,953","527,622",T-Mobile Park
St. Louis Cardinals,NL,"3,320,551",81,"40,994","2,231,636","31,193","48,581","388,559","615,653","546,365","352,203","656,774","760,997",Busch Stadium III
Tampa Bay Rays,AL,"1,128,127",81,"13,927","2,027,234","10,049","25,025","197,810","191,097","196,035","146,804","168,187","228,194",Tropicana Field
Texas Rangers,AL,"2,011,361",81,"24,832","1,773,021","13,121","38,832","293,918","269,796","352,611","258,985","439,650","396,401",Globe Life Field in Arlington
Toronto Blue Jays,AL,"2,653,830",81,"32,763","2,049,866","18,577","45,311","378,194","310,034","484,369","549,899","451,693","479,641",Rogers Centre
Washington Nationals,NL,"2,026,401",81,"25,017","2,227,198","11,720","42,730","272,411","286,680","336,018","343,368","409,172","378,752",Nationals Park
Miami Marlins,NL,"907,487",81,"11,204","2,224,297","10,193","31,184","133,835","133,576","134,641","166,696","162,204","176,535",LoanDepot Park
Cleveland Guardians,AL,"1,295,870",76,"17,051","2,049,633","10,244","33,469","73,817","137,598","253,434","196,248","257,586","377,187",Progressive Field
Los Angeles Angels,AL,"2,457,461",81,"30,339","2,070,514","15,594","44,728","412,025","486,513","465,147","300,704","369,676","423,396",Angel Stadium of Anaheim
