Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,57,22,0,.722,7.1,4.3,2.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Hilldale Club,47,26,0,.644,5.6,4.0,1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Giants,93,60,1,.608,5.6,4.2,1.4,-0.2,1.2,96-57,-3,51-26,42-34,5-9,18-19,73-45,20-15,49-39,44-21
4,Washington Nationals,92,62,2,.597,4.8,3.9,0.9,-0.1,0.8,92-62,0,47-30,45-32,5-6,22-18,59-44,33-18,27-17,65-45
5,Chicago American Giants,52,27,0,.658,5.9,4.4,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Baltimore Black Sox,38,23,0,.623,5.8,5.2,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Brooklyn Robins,92,62,0,.597,4.7,4.4,0.2,0.0,0.2,81-73,11,46-31,46-31,13-7,29-19,61-37,31-25,45-43,47-19
8,New York Yankees,89,63,1,.586,5.2,4.4,0.9,-0.1,0.8,88-64,1,45-32,44-31,7-3,22-21,65-35,24-28,18-26,71-37
9,Pittsburgh Pirates,90,63,0,.588,4.7,3.8,0.9,-0.1,0.8,91-62,-1,49-28,41-35,14-5,31-21,74-57,16-6,47-41,43-22
10,Detroit Tigers,86,68,2,.558,5.4,5.1,0.3,0.0,0.3,82-72,4,45-33,41-35,9-7,30-21,60-48,26-20,21-23,65-45
11,Detroit Stars,35,28,1,.556,5.5,6.1,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,New York Lincoln Giants,35,28,1,.556,5.7,5.1,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Cincinnati Reds,83,70,0,.542,4.2,3.8,0.5,-0.1,0.4,84-69,-1,43-33,40-37,8-6,29-21,71-62,12-8,44-44,39-26
14,Atlantic City Bacharach Giants,35,32,1,.522,5.7,5.2,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,St. Louis Stars,43,41,0,.512,5.7,5.9,-0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,St. Louis Browns,74,78,1,.487,5.0,5.3,-0.2,0.0,-0.2,73-79,1,41-36,33-42,5-2,20-23,53-51,21-27,36-30,38-48
17,Chicago Cubs,81,72,1,.529,4.5,4.5,0.0,0.0,0.0,76-77,5,46-31,35-41,9-8,23-22,63-52,18-20,35-53,46-19
18,Harrisburg Giants,30,31,0,.492,5.3,5.3,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Philadelphia Athletics,71,81,0,.467,4.5,5.1,-0.6,0.1,-0.5,67-85,4,36-39,35-42,4-6,27-22,56-66,15-15,26-38,45-43
20,Birmingham Black Barons,37,44,4,.457,4.2,4.5,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Cleveland Indians,67,86,0,.438,4.9,5.3,-0.4,0.0,-0.3,71-82,-4,37-38,30-48,6-7,22-28,45-55,22-31,26-40,41-46
22,St. Louis Cardinals,65,89,0,.422,4.8,4.9,-0.1,0.0,-0.1,76-78,-11,40-37,25-52,5-7,16-26,49-63,16-26,39-71,26-18
23,Memphis Red Sox,24,36,3,.400,3.6,4.4,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Brooklyn Royal Giants,15,25,1,.375,4.0,5.2,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Boston Red Sox,67,87,3,.435,4.7,5.1,-0.5,0.1,-0.4,71-83,-4,41-36,26-51,7-7,24-27,51-59,16-28,20-46,47-41
26,Philadelphia Phillies,55,96,1,.364,4.4,5.6,-1.1,0.1,-1.0,60-91,-5,26-49,29-47,7-17,19-34,47-79,8-17,31-76,24-20
27,Washington Potomacs,21,38,0,.356,5.3,7.1,-1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,Indianapolis ABCs,5,21,2,.192,3.1,7.0,-3.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Chicago White Sox,66,87,1,.431,5.1,5.6,-0.4,0.1,-0.4,71-82,-5,37-39,29-48,5-10,19-26,52-56,14-31,19-47,47-40
30,Boston Braves,53,100,1,.346,3.4,5.2,-1.8,0.2,-1.6,48-105,5,28-48,25-52,7-9,17-20,46-78,7-22,37-72,16-28
31,Cuban Stars West,18,35,0,.340,6.0,6.5,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
32,Cleveland Browns,15,32,0,.319,4.8,7.1,-2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
33,Cuban Stars East,15,33,1,.312,4.6,5.8,-1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,52,52,0,.500,5.0,5.1,,,,52-52,,19-17,17-19,3-3,11-11,28-26,9-10,15-21,21-15
