Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Americans,"468,828","6,089",31.6,30.1,100,101,3,0,0,,Collins
Brooklyn Superbas,"227,924","2,960",26.1,25.8,92,96,0,0,0,,Hanlon
Boston Nationals,"150,003","1,974",28.5,28.7,97,103,1,0,0,,Tenney
Chicago Cubs,"509,900","6,295",27.6,26.8,104,99,4,0,0,,Selee and Chance
Chicago White Sox,"687,419","8,383",29.5,25.9,96,93,2,0,0,,Jones
Cincinnati Reds,"313,927","3,974",28.8,26.5,111,110,2,0,0,,Kelley
Cleveland Napoleons,"316,306","4,108",27.1,27.3,103,100,3,0,0,,Lajoie and Bradley
Detroit Tigers,"193,384","2,545",27.8,27.9,100,102,2,0,0,,Armour
New York Giants,"552,700","7,272",29.7,27.3,103,99,4,0,0,,McGraw
New York Highlanders,"309,100","4,121",29.2,29.0,110,109,3,0,0,,Griffith
Philadelphia Athletics,"554,576","7,494",29.7,25.2,102,101,3,0,0,,Mack
Philadelphia Phillies,"317,932","4,183",29.2,30.0,95,96,2,0,0,,Duffy
Pittsburgh Pirates,"369,124","4,732",28.8,28.5,102,99,2,0,0,,Clarke
St. Louis Browns,"339,112","4,293",29.1,27.6,94,95,2,0,0,,McAleer
St. Louis Cardinals,"292,800","3,803",29.0,27.9,96,99,2,0,0,,"Nichols, Burke and Robison"
Washington Nationals,"252,027","3,273",27.3,27.3,96,100,0,0,0,,Stahl
