Tm,W,L,W-L%,GB
New York Yankees,114,48,.704,--
Boston Red Sox,92,70,.568,22.0
Toronto Blue Jays,88,74,.543,26.0
Baltimore Orioles,79,83,.488,35.0
Tampa Bay Devil Rays,63,99,.389,51.0
Cleveland Indians,89,73,.549,--
Chicago White Sox,80,82,.494,9.0
Kansas City Royals,72,89,.447,16.5
Minnesota Twins,70,92,.432,19.0
Detroit Tigers,65,97,.401,24.0
Texas Rangers,88,74,.543,--
Anaheim Angels,85,77,.525,3.0
Seattle Mariners,76,85,.472,11.5
Oakland Athletics,74,88,.457,14.0
Atlanta Braves,106,56,.654,--
New York Mets,88,74,.543,18.0
Philadelphia Phillies,75,87,.463,31.0
Montreal Expos,65,97,.401,41.0
Florida Marlins,54,108,.333,52.0
Houston Astros,102,60,.630,--
Chicago Cubs,90,73,.552,12.5
St. Louis Cardinals,83,79,.512,19.0
Cincinnati Reds,77,85,.475,25.0
Milwaukee Brewers,74,88,.457,28.0
Pittsburgh Pirates,69,93,.426,33.0
San Diego Padres,98,64,.605,--
San Francisco Giants,89,74,.546,9.5
Los Angeles Dodgers,83,79,.512,15.0
Colorado Rockies,77,85,.475,21.0
Arizona Diamondbacks,65,97,.401,33.0
