team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"534,552",73,"7,323","1,375,306","1,045","29,487","66,975","70,887","114,307","141,251","100,209","40,923",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,002,125",68,"14,737","1,163,453","10,307","48,042","117,470","125,442","245,109","158,104","181,867","174,133",Memorial Stadium
Boston Red Sox,AL,"1,748,518",77,"22,708","1,285,463","10,300","35,866","144,535","173,760","353,089","365,365","392,618","319,151",Fenway Park
Chicago Cubs,NL,"1,034,819",76,"13,616","1,362,864","1,427","32,691","98,953","157,883","181,105","303,996","220,948","71,934",Wrigley Field
Chicago White Sox,AL,"770,802",74,"10,416","990,220","1,295","30,947","37,907","155,972","200,020","162,519","148,264","66,120",Comiskey Park I
Cincinnati Reds,NL,"2,315,603",75,"30,875","1,693,810","11,933","52,526","204,075","314,757","445,657","534,618","512,901","303,595",Cinergy Field
Cleveland Indians,AL,"977,056",69,"14,160","1,012,324","10,019","59,161","96,968","202,351","174,108","253,906","139,501","110,222",Cleveland Stadium
Detroit Tigers,AL,"1,038,439",73,"14,225","934,140","10,109","40,139","115,471","155,705","243,143","300,236","128,500","95,384",Tiger Stadium
Houston Astros,NL,"857,444",79,"10,854","1,174,528","10,117","25,024","160,725","93,425","212,214","149,039","147,034","95,007",Astrodome
Kansas City Royals,AL,"1,151,805",77,"14,959","934,836","10,026","39,333","122,446","176,488","133,085","224,706","360,399","134,681",Kauffman Stadium
Los Angeles Dodgers,NL,"2,552,103",80,"31,901","1,712,150","12,032","53,701","382,661","599,188","366,469","485,572","475,508","242,705",Dodger Stadium
Milwaukee Brewers,AL,"1,213,363",73,"16,621","1,138,431","10,945","48,160","103,659","249,102","272,162","304,630","200,561","83,249",County Stadium
Minnesota Twins,AL,"737,156",73,"10,098","894,415","10,026","37,602","21,385","119,501","151,223","210,364","164,306","70,377",Metropolitan Stadium
Montreal Expos,NL,"908,202",72,"12,614","1,070,782","10,116","21,710","59,388","136,864","225,081","158,448","199,444","128,977",Parc Jarry
New York Mets,NL,"1,730,766",76,"22,773","1,290,016","10,720","52,144","103,376","292,973","465,290","254,486","328,828","285,813",Shea Stadium
New York Yankees,AL,"1,288,046",68,"18,942","1,437,310","10,012","53,631","163,383","197,665","225,438","334,836","272,120","94,604",Shea Stadium
Oakland Athletics,AL,"1,077,597",77,"13,995","1,438,388","10,244","46,376","91,509","156,573","189,162","271,829","207,873","160,651",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,908,969",74,"25,797","1,323,768","10,047","55,301","108,880","287,116","415,324","423,869","370,741","303,039",Veterans Stadium
Pittsburgh Pirates,NL,"1,270,013",73,"17,397","1,682,182","10,394","46,576","118,798","120,957","263,716","316,020","285,890","164,632",Three Rivers Stadium
San Diego Padres,NL,"1,281,747",77,"16,646","1,152,236","10,111","49,618","242,473","195,153","266,952","234,328","182,339","160,502",Qualcomm Stadium
San Francisco Giants,NL,"522,902",74,"7,066","1,421,849","1,016","35,517","107,257","66,286","104,161","55,367","121,957","67,874",Candlestick Park
St. Louis Cardinals,NL,"1,695,034",78,"21,731","1,352,663","10,060","50,548","134,704","281,302","245,895","383,167","384,403","265,563",Busch Stadium II
Texas Rangers,AL,"1,127,663",76,"14,838","976,011","10,106","38,714","145,646","271,293","200,128","157,356","264,658","88,582",Arlington Stadium
California Angels,AL,"1,058,103",76,"13,922","985,682","10,002","43,112","183,600","175,772","259,055","157,486","171,282","110,908",Angel Stadium of Anaheim
