Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Red Sox,"503,961","6,631",24.9,25.0,99,98,2,0,0,,Donovan
Brooklyn Dodgers,"269,000","3,635",26.1,26.8,96,98,1,0,0,,Dahlen
Boston,"116,000","1,547",27.8,27.5,106,111,1,0,0,,Tenney
Chicago Cubs,"576,000","6,857",27.8,28.5,100,97,4,0,0,,Chance
Chicago White Sox,"583,208","7,477",29.0,28.1,98,97,1,0,0,,Duffy
Cincinnati Reds,"300,000","3,659",26.6,28.1,97,97,0,0,0,,Griffith
Cleveland Naps,"406,296","5,277",27.0,24.8,101,102,2,0,0,,McGuire and Stovall
Detroit Tigers,"484,988","6,381",27.2,27.1,105,104,2,0,0,,Jennings
New York Giants,"675,000","9,000",25.3,27.0,103,98,2,0,0,,McGraw
New York Highlanders,"302,444","3,928",27.0,25.4,106,107,0,0,0,,Chase
Philadelphia Athletics,"605,749","8,077",26.8,28.5,98,94,4,0,0,,Mack
Philadelphia Phillies,"416,000","5,474",28.2,27.3,100,100,1,0,0,,Dooin
Pittsburgh Pirates,"432,000","5,538",28.2,27.0,104,101,4,0,0,,Clarke
St. Louis Browns,"207,984","2,666",28.0,27.4,95,100,1,0,0,,Wallace
St. Louis Cardinals,"447,768","5,668",26.2,24.1,96,98,2,0,0,,Bresnahan
Washington Nationals,"244,884","3,180",28.0,25.9,98,98,1,0,0,,McAleer
