team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,078,800",74,"14,578","1,352,161","10,585","44,804","125,691","198,966","189,452","289,013","177,854","97,824",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,027,904",75,"13,705","1,311,394","10,049","40,169","89,109","164,701","164,918","281,428","209,579","118,169",Memorial Stadium
Boston Red Sox,AL,"1,594,593",77,"20,709","1,071,890","10,010","34,002","187,148","220,492","320,324","322,579","301,281","242,769",Fenway Park
Chicago Cubs,NL,"1,642,523",72,"22,813","1,483,848","10,095","39,189","159,590","210,176","315,036","461,681","251,504","244,536",Wrigley Field
Chicago White Sox,AL,"494,411",69,"7,165","977,208","1,036","24,288","35,189","104,464","117,425","72,150","128,178","37,005",Comiskey Park I
Cincinnati Reds,NL,"1,812,230",77,"23,535","1,605,112","10,279","51,050","131,267","210,947","275,764","465,613","389,356","339,283","Crosley Field, Cinergy Field"
Cleveland Indians,AL,"728,209",72,"10,114","841,806","10,386","38,180","75,572","77,312","136,971","207,521","158,248","72,585",Cleveland Stadium
Detroit Tigers,AL,"1,481,364",75,"19,752","1,092,635","10,181","53,959","60,022","259,155","266,323","491,888","283,373","120,603",Tiger Stadium
Houston Astros,NL,"1,247,444",80,"15,593","1,155,477","10,189","29,923","130,809","212,238","255,750","275,287","243,014","130,346",Astrodome
Kansas City Royals,AL,"692,986",72,"9,625","797,702","10,016","30,035","121,871","119,429","137,346","112,440","134,502","67,398",Municipal Stadium
Los Angeles Dodgers,NL,"1,697,141",78,"21,758","1,332,056","10,396","55,110","235,934","322,915","318,819","195,946","414,339","209,188",Dodger Stadium
Milwaukee Brewers,AL,"935,496",73,"12,815","752,097","10,132","44,387","58,580","133,607","192,022","250,010","193,264","108,013",County Stadium
Minnesota Twins,AL,"1,251,138",76,"16,462","1,218,449","1,100","41,339","93,927","156,781","139,538","335,704","381,560","143,628",Metropolitan Stadium
Montreal Expos,NL,"1,424,449",74,"19,249","1,153,618","10,576","31,004","59,334","253,051","245,418","259,100","339,927","267,619",Parc Jarry
New York Mets,NL,"2,697,456",74,"36,452","1,677,554","13,473","54,806","151,560","542,945","382,481","626,181","520,695","473,594",Shea Stadium
New York Yankees,AL,"1,136,873",69,"16,476","1,164,138","10,061","65,880","120,445","108,675","278,235","196,513","279,600","153,405",Yankee Stadium I
Oakland Athletics,AL,"778,436",77,"10,110","964,431","1,960","48,758","80,138","130,051","156,520","169,296","144,327","98,104",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"708,247",73,"9,702","1,282,915","1,055","31,822","60,769","97,193","129,829","141,889","187,076","91,491",Shibe Park
Pittsburgh Pirates,NL,"1,342,007",76,"17,658","1,387,853","10,188","50,469","134,869","85,642","166,396","263,356","376,343","315,401","Forbes Field, Three Rivers Stadium"
San Diego Padres,NL,"633,369",73,"8,676","1,202,071","1,753","25,125","73,412","149,374","128,153","105,526","105,302","71,602",Qualcomm Stadium
San Francisco Giants,NL,"740,404",72,"10,283","1,556,185","10,573","31,731","147,447","93,967","109,311","149,706","128,398","111,575",Candlestick Park
St. Louis Cardinals,NL,"1,627,777",75,"21,704","1,462,997","10,454","49,027","202,501","251,947","267,189","334,656","362,434","209,050",Busch Stadium II
California Angels,AL,"1,098,557",80,"13,732","971,440","10,017","43,041","96,585","197,119","170,124","304,405","150,283","180,041",Angel Stadium of Anaheim
Washington Senators II,AL,"824,750",79,"10,440","881,527","1,807","45,015","162,773","125,554","162,562","126,089","136,233","111,539",Robert F. Kennedy Stadium
