Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,26.8,28.9,100,100,2,0,2,,Taylor
Boston Red Sox,"279,273","3,627",29.5,27.1,97,99,1,0,0,"$97,200",Duffy
Brooklyn Robins,"613,245","7,862",30.4,28.4,105,104,2,0,0,"$124,275",Robinson
Boston Braves,"318,627","4,306",28.1,26.5,94,96,1,0,0,"$81,600",Mitchell
Chicago American Giants,,,27.6,25.4,100,100,1,0,2,,Foster
Chicago Cubs,"410,107","5,396",27.9,27.0,100,101,1,0,0,"$127,918",Evers and Killefer
Chicago White Sox,"543,650","7,060",28.6,27.5,98,98,4,0,0,"$111,300",Gleason
Cincinnati Reds,"311,227","4,095",28.5,30.0,95,94,3,0,0,"$135,866",Moran
Cleveland Indians,"748,705","9,723",29.1,28.2,102,100,3,0,1,"$76,100",Speaker
Columbus Buckeyes,,,27.9,25.1,100,100,1,0,1,,Lloyd
Chicago Giants,,,27.9,27.9,100,100,0,0,1,,Green
Cincinnati Cuban Stars,,,26.2,27.9,100,100,0,0,0,,
Detroit Tigers,"661,527","8,591",29.0,27.9,99,100,2,0,0,"$93,000",Cobb
Detroit Stars,,,27.5,26.3,100,100,2,0,2,,Hill
Kansas City Monarchs,,,27.9,26.4,100,100,2,0,2,,Crawford
New York Giants,"973,477","12,322",27.0,29.1,101,98,5,0,1,"$125,658",McGraw
New York Yankees,"1,230,696","15,778",27.7,27.4,102,98,3,0,1,"$167,400",Huggins
Philadelphia Athletics,"344,430","4,473",24.9,24.3,100,104,0,0,1,"$59,000",Mack
Philadelphia Phillies,"273,961","3,605",28.1,26.0,107,111,1,0,0,"$87,067",Donovan and Wilhelm
Pittsburgh Pirates,"701,567","9,231",28.4,29.0,102,101,4,0,2,"$104,600",Gibson
St. Louis Browns,"355,978","4,623",27.8,27.2,106,105,1,0,0,"$78,100",Fohl
St. Louis Giants,,,29.8,28.4,100,100,1,0,2,,Wallace
St. Louis Cardinals,"384,773","4,933",26.9,27.3,97,96,2,0,0,"$130,350",Rickey
Washington Nationals,"456,069","6,001",28.5,28.8,95,96,4,0,1,"$84,040",McBride
