Tm,W,L,W-L%,GB
Boston Red Sox,96,66,.593,--
New York Yankees,94,68,.580,2.0
Toronto Blue Jays,83,79,.512,13.0
Baltimore Orioles,69,93,.426,27.0
Tampa Bay Devil Rays,66,96,.407,30.0
Cleveland Indians,96,66,.593,--
Detroit Tigers,88,74,.543,8.0
Minnesota Twins,79,83,.488,17.0
Chicago White Sox,72,90,.444,24.0
Kansas City Royals,69,93,.426,27.0
Los Angeles Angels of Anaheim,94,68,.580,--
Seattle Mariners,88,74,.543,6.0
Oakland Athletics,76,86,.469,18.0
Texas Rangers,75,87,.463,19.0
Philadelphia Phillies,89,73,.549,--
New York Mets,88,74,.543,1.0
Atlanta Braves,84,78,.519,5.0
Washington Nationals,73,89,.451,16.0
Florida Marlins,71,91,.438,18.0
Chicago Cubs,85,77,.525,--
Milwaukee Brewers,83,79,.512,2.0
St. Louis Cardinals,78,84,.481,7.0
Houston Astros,73,89,.451,12.0
Cincinnati Reds,72,90,.444,13.0
Pittsburgh Pirates,68,94,.420,17.0
Arizona Diamondbacks,90,72,.556,--
Colorado Rockies,90,73,.552,0.5
San Diego Padres,89,74,.546,1.5
Los Angeles Dodgers,82,80,.506,8.0
San Francisco Giants,71,91,.438,19.0
