Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Red Sox,"387,856","4,848",27.9,24.8,99,97,3,0,1,,Barry
Brooklyn Robins,"221,619","2,841",28.9,28.7,102,103,3,0,0,"$68,775",Robinson
Boston Braves,"174,253","2,263",27.8,27.5,94,94,3,0,0,"$94,900",Stallings
Chicago Cubs,"360,218","4,678",27.5,27.5,107,106,0,0,0,"$54,450",Mitchell
Chicago White Sox,"684,521","8,665",26.9,28.6,102,100,3,0,0,,Rowland
Cincinnati Reds,"269,056","3,363",27.7,25.0,96,97,2,0,0,"$50,750",Mathewson
Cleveland Indians,"477,298","6,119",26.2,26.7,107,106,2,0,0,,Fohl
Detroit Tigers,"457,289","6,017",27.7,26.0,100,99,3,0,0,,Jennings
New York Giants,"500,264","6,253",28.2,28.3,97,94,3,0,0,"$128,200",McGraw
New York Yankees,"330,294","4,404",26.7,27.0,101,101,1,0,0,"$134,333",Donovan
Philadelphia Athletics,"221,432","2,914",25.4,24.6,97,102,0,0,0,"$50,700",Mack
Philadelphia Phillies,"354,428","4,664",29.9,28.3,104,104,5,0,0,"$68,400",Moran
Pittsburgh Pirates,"192,807","2,441",26.0,25.2,103,105,4,0,0,"$79,785","Callahan, Wagner and Bezdek"
St. Louis Browns,"210,486","2,699",28.1,27.5,96,97,2,0,0,"$87,103",Jones
St. Louis Cardinals,"288,491","3,699",25.5,26.4,97,99,2,0,0,"$63,900",Huggins
Washington Nationals,"89,682","1,121",26.5,24.4,99,99,2,0,0,"$48,600",Griffith
