Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Stars,63,26,0,.708,6.9,4.8,2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,New York Yankees,101,53,0,.656,5.8,4.4,1.4,-0.2,1.2,95-59,6,52-25,49-28,5-4,19-14,70-41,31-12,28-16,73-37
3,St. Louis Cardinals,95,59,0,.617,5.2,4.1,1.1,-0.1,1.0,94-60,1,42-35,53-24,11-6,29-23,68-41,27-18,57-53,38-6
4,Atlantic City Bacharach Giants,18,12,1,.600,5.9,5.5,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,Philadelphia Athletics,98,55,0,.641,5.4,4.0,1.4,-0.2,1.2,97-56,1,52-25,46-30,8-0,30-13,78-42,20-13,22-22,76-33
6,Kansas City Monarchs,50,29,1,.633,5.1,3.9,1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,New York Giants,93,61,1,.604,5.2,4.2,1.0,-0.1,0.9,92-62,1,51-26,42-35,8-9,32-22,59-40,34-21,60-50,33-11
8,Baltimore Black Sox,19,15,3,.559,5.6,5.5,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Detroit Stars,53,36,0,.596,6.0,5.6,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Chicago American Giants,55,38,1,.591,4.8,3.6,1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Chicago Cubs,91,63,0,.591,4.6,4.0,0.6,-0.1,0.6,87-67,4,52-25,39-38,8-5,27-19,64-51,27-12,61-49,30-14
12,New York Lincoln Giants,9,7,1,.562,6.4,5.9,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,St. Louis Browns,82,72,0,.532,5.0,4.8,0.2,0.0,0.2,80-74,2,43-34,39-38,10-2,18-20,61-55,21-17,16-28,66-44
14,Pittsburgh Pirates,85,67,0,.559,5.5,4.6,0.9,-0.1,0.8,88-64,-3,47-30,38-37,8-6,25-24,58-46,27-21,51-58,34-9
15,Washington Nationals,75,79,1,.487,4.6,4.5,0.1,0.0,0.1,78-76,-3,37-43,38-36,3-12,19-25,58-61,17-18,28-38,47-41
16,Philadelphia Tigers,2,7,0,.222,4.3,9.6,-5.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Cincinnati Reds,78,74,1,.513,4.2,4.5,-0.2,0.0,-0.2,72-80,6,44-33,34-41,10-7,34-18,61-61,17-13,53-57,25-17
18,Chicago White Sox,72,82,1,.468,4.2,4.7,-0.4,0.1,-0.4,70-84,2,37-40,35-42,5-6,26-18,55-59,17-23,25-41,47-41
19,Birmingham Black Barons,46,53,0,.465,3.9,4.9,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Cuban Stars East,6,13,4,.316,5.6,6.3,-0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Brooklyn Robins,77,76,2,.503,4.3,4.1,0.2,0.0,0.1,79-74,-2,41-35,36-41,6-11,24-34,47-49,30-27,47-62,30-14
22,Detroit Tigers,68,86,0,.442,4.8,5.2,-0.4,0.1,-0.3,72-82,-4,36-41,32-45,6-8,20-24,52-69,16-17,24-42,44-44
23,Memphis Red Sox,33,51,0,.393,4.5,4.9,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Cleveland Indians,62,92,1,.403,4.3,5.4,-1.0,0.1,-0.9,63-91,-1,28-49,34-43,6-8,23-27,50-71,12-21,19-47,43-45
25,Boston Braves,50,103,0,.327,4.1,5.7,-1.6,0.2,-1.4,54-99,-4,25-51,25-52,9-8,14-26,42-84,8-19,37-94,13-9
26,Cuban Stars West,13,41,0,.241,3.6,5.9,-2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
27,Boston Red Sox,57,96,1,.373,3.8,5.0,-1.2,0.1,-1.0,58-95,-1,26-47,31-49,3-6,18-32,46-64,11-32,18-47,39-49
28,Philadelphia Phillies,43,109,0,.283,4.3,6.3,-2.0,0.2,-1.7,51-101,-8,26-49,17-60,3-11,16-35,29-80,14-29,34-96,9-13
29,Cleveland Tigers,20,59,0,.253,4.5,6.7,-2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,55,55,0,.500,4.9,5.1,,,,55-55,,22-20,20-22,3-3,12-12,30-31,11-10,20-27,22-14
