Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Americans,"410,209","5,327",29.1,30.2,100,102,2,0,0,,Collins and Stahl
Brooklyn Superbas,"277,400","3,650",27.9,26.6,92,95,0,0,0,,Donovan
Boston Nationals,"143,280","1,885",27.4,26.9,96,101,0,0,0,,Tenney
Chicago Cubs,"654,300","8,282",27.2,27.1,106,100,4,0,0,,Chance
Chicago White Sox,"585,202","7,408",29.5,26.8,97,94,2,0,0,,Jones
Cincinnati Reds,"330,056","4,231",29.0,29.9,105,105,2,0,0,,Hanlon
Cleveland Naps,"325,733","4,123",28.2,28.0,99,98,3,0,0,,Lajoie
Detroit Tigers,"174,043","2,231",27.5,29.2,102,102,3,0,0,,Armour
New York Giants,"402,850","5,371",30.7,28.0,103,100,4,0,0,,McGraw
New York Highlanders,"434,700","5,720",28.2,29.4,110,110,3,0,0,,Griffith
Philadelphia Athletics,"489,129","6,700",28.7,24.9,104,102,4,0,0,,Mack
Philadelphia Phillies,"294,680","3,827",28.8,27.2,99,99,2,0,0,,Duffy
Pittsburgh Pirates,"394,877","5,128",28.9,28.9,104,101,3,0,0,,Clarke
St. Louis Browns,"389,157","5,120",28.7,28.1,95,95,2,0,0,,McAleer
St. Louis Cardinals,"283,770","3,685",28.5,25.8,95,99,1,0,0,,McCloskey
Washington Nationals,"129,903","1,732",29.6,29.1,95,98,0,0,0,,Stahl
