Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Americans,"436,777","5,600",29.1,30.2,99,101,3,0,0,,"Young, Huff, Unglaub and McGuire"
Brooklyn Superbas,"312,500","4,058",28.1,27.1,92,95,0,0,0,,Donovan
Boston Doves,"203,221","2,746",28.4,28.2,99,103,0,0,0,,Tenney
Chicago Cubs,"422,550","5,560",28.2,28.2,106,100,4,0,0,,Chance
Chicago White Sox,"666,307","8,434",30.8,27.5,97,95,2,0,0,,Jones
Cincinnati Reds,"317,500","3,920",27.7,28.0,104,105,1,0,0,,Hanlon
Cleveland Naps,"382,046","4,659",27.5,26.8,101,99,3,0,0,,Lajoie
Detroit Tigers,"297,079","3,760",26.9,29.2,103,102,3,0,0,,Jennings
New York Giants,"538,350","6,992",31.1,28.7,104,101,4,0,0,,McGraw
New York Highlanders,"350,020","4,667",28.1,29.3,107,109,4,0,0,,Griffith
Philadelphia Athletics,"625,581","8,570",30.4,26.5,102,102,5,0,0,,Mack
Philadelphia Phillies,"341,216","4,550",28.2,26.6,98,97,0,0,0,,Murray
Pittsburgh Pirates,"319,506","4,149",28.6,29.1,101,98,4,0,0,,Clarke
St. Louis Browns,"419,025","5,513",30.4,29.2,99,98,1,0,0,,McAleer
St. Louis Cardinals,"185,377","2,347",26.0,26.9,96,100,1,0,0,,McCloskey
Washington Nationals,"221,929","2,959",29.4,28.1,92,95,1,0,0,,Cantillon
