Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,29.1,28.0,100,100,0,4,8,,Sampson
Baltimore Elite Giants,,,31.4,28.4,100,100,1,7,16,,Snow
Boston Red Sox,"1,416,944","18,166",29.3,29.2,106,104,2,8,15,"$261,000",Cronin
Brooklyn Dodgers,"1,796,824","22,745",28.2,27.4,101,99,3,4,15,,Durocher
Boston Braves,"969,673","12,593",29.5,30.9,101,101,2,3,14,,Southworth
Chicago American Giants,,,27.7,31.6,100,100,0,2,7,,Taylor
Cleveland Buckeyes,,,28.7,27.1,100,100,0,10,14,,Trouppe
Chicago Cubs,"1,342,970","17,441",29.5,29.3,98,97,0,4,12,,Grimm
Chicago White Sox,"983,403","12,448",30.5,30.9,96,97,2,1,11,"$235,400",Dykes and Lyons
Cincinnati Reds,"715,751","9,295",28.4,31.5,97,98,0,3,11,,McKechnie and Gowdy
Cleveland Indians,"1,057,289","13,731",27.9,28.6,93,94,3,3,14,"$147,800",Boudreau
Detroit Tigers,"1,722,590","21,805",30.4,29.0,107,105,3,1,17,"$233,200",O'Neill
Homestead Grays,,,32.4,28.3,100,100,3,7,10,,Harris
Cincinnati-Indianapolis Clowns,,,28.8,27.6,100,100,0,3,10,,Walker
Kansas City Monarchs,,,29.4,30.9,100,100,4,2,12,,Duncan
Memphis Red Sox,,,33.0,31.7,100,100,0,7,12,,Taylor and Jones
New York Black Yankees,,,30.3,32.5,100,100,1,0,8,,Barker
Newark Eagles,,,27.2,27.2,100,100,4,8,13,,Mackey
New York Cubans,,,30.5,31.2,100,100,1,6,12,,Fernández
New York Giants,"1,219,873","15,843",28.8,27.4,100,101,3,2,17,,Ott
New York Yankees,"2,265,512","29,422",30.1,30.6,101,98,6,6,21,"$218,923","McCarthy, Dickey and Neun"
Philadelphia Athletics,"621,793","7,972",29.9,28.3,98,100,1,2,6,"$167,800",Mack
Philadelphia Phillies,"1,045,247","13,401",29.0,29.8,96,100,0,3,14,,Chapman
Pittsburgh Pirates,"749,962","9,615",29.2,31.7,103,103,2,2,11,,Frisch and Davis
Philadelphia Stars,,,29.3,31.3,100,100,0,7,13,,Curry
St. Louis Browns,"526,435","6,837",29.2,29.6,105,107,0,2,10,"$139,950",Sewell and Taylor
St. Louis Cardinals,"1,061,807","13,613",27.2,29.1,104,101,3,6,14,,Dyer
Washington Nationals,"1,027,216","13,516",29.6,32.0,94,95,1,2,13,,Bluege
