team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"2,066,982",81,"25,518","2,273,472","14,338","43,619","382,915","275,899","355,986","408,569","419,362","224,251",Angel Stadium of Anaheim
Arizona Diamondbacks,NL,"2,942,251",81,"36,324","2,420,694","28,774","47,404","454,581","547,225","524,804","402,119","560,733","452,789",Chase Field
Atlanta Braves,NL,"3,234,304",81,"39,930","2,536,413","25,529","49,802","507,848","370,174","666,629","556,584","557,952","575,117",Turner Field
Baltimore Orioles,AL,"3,297,031",81,"40,704","2,014,606","30,166","49,013","455,554","488,572","441,865","790,661","632,770","487,609",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,585,895",81,"31,925","2,524,779","20,313","33,909","203,840","506,950","397,853","465,525","426,365","585,362",Fenway Park
Chicago Cubs,NL,"2,789,511",80,"34,869","2,764,812","17,572","55,000","347,551","565,320","419,356","582,401","550,150","324,733","Tokyo Dome, Wrigley Field"
Chicago White Sox,AL,"1,971,446",81,"24,339","2,353,162","10,397","44,140","176,134","242,429","444,494","330,886","360,559","416,944",Guaranteed Rate Field
Cincinnati Reds,NL,"2,594,132",82,"31,636","3,016,067","16,761","55,596","402,482","431,643","559,334","377,046","399,336","424,291",Cinergy Field
Cleveland Indians,AL,"3,456,278",81,"42,670","2,377,981","40,530","43,333","374,515","630,806","517,607","561,003","518,569","853,778",Progressive Field
Colorado Rockies,NL,"3,295,129",81,"40,681","2,232,144","35,071","48,735","407,496","613,309","524,454","553,298","485,145","711,427",Coors Field
Detroit Tigers,AL,"2,533,753",81,"31,281","2,110,515","20,322","40,637","282,954","404,594","422,919","456,014","487,057","480,215",Comerica Park
Florida Marlins,NL,"1,218,326",80,"15,229","2,308,141","10,269","35,392","224,294","220,236","192,104","221,892","231,720","128,080",Sun Life Stadium
Houston Astros,NL,"3,056,139",81,"37,730","2,446,596","27,408","43,189","473,543","495,723","460,135","445,789","572,262","608,687",Minute Maid Park
Kansas City Royals,AL,"1,677,915",81,"20,715","2,323,443","11,442","40,474","259,021","243,067","308,164","367,047","249,701","250,915",Kauffman Stadium
Los Angeles Dodgers,NL,"3,011,539",81,"37,179","2,700,452","22,780","53,563","326,546","538,853","540,662","433,291","505,501","666,686",Dodger Stadium
Milwaukee Brewers,NL,"1,573,621",79,"19,919","2,217,518","10,002","56,354","172,205","185,670","241,568","318,248","329,387","326,543",County Stadium
Minnesota Twins,AL,"1,059,415",81,"13,079","2,332,786","10,033","43,830","175,307","143,730","123,498","353,578","150,525","112,777",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"926,272",81,"11,435","2,221,330","10,019","51,249","211,163","146,828","203,961","147,847","127,296","89,177",Stade Olympique
New York Mets,NL,"2,820,530",78,"36,161","2,575,283","17,002","55,000","470,134","250,363","547,134","510,182","578,546","464,171","Tokyo Dome, Shea Stadium"
New York Yankees,AL,"3,227,657",80,"40,346","2,876,506","14,292","55,839","385,641","533,235","398,259","595,565","715,773","599,184",Yankee Stadium I
Oakland Athletics,AL,"1,728,885",81,"21,344","2,466,594","10,187","54,268","224,293","173,223","377,867","334,186","338,911","280,405",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,612,769",80,"20,160","2,468,356","11,310","48,406","228,627","247,237","361,591","296,275","271,021","208,018",Veterans Stadium
Pittsburgh Pirates,NL,"1,748,908",79,"22,138","2,455,550","10,290","55,351","297,830","252,254","333,719","277,214","251,657","336,234",Three Rivers Stadium
San Diego Padres,NL,"2,423,142",81,"29,915","2,414,746","13,777","60,760","373,801","367,016","360,992","478,291","346,890","496,152",Qualcomm Stadium
San Francisco Giants,NL,"3,315,330",81,"40,930","2,595,202","40,930","40,930","327,440","736,740","409,300","573,020","532,090","736,740",Oracle Park
Seattle Mariners,AL,"3,148,317",81,"38,868","2,232,622","25,121","45,552","431,445","422,254","566,137","606,235","614,232","508,014",T-Mobile Park
St. Louis Cardinals,NL,"3,336,493",81,"41,191","2,723,862","27,997","48,901","543,116","506,349","556,879","495,395","544,106","690,648",Busch Stadium II
Tampa Bay Devil Rays,AL,"1,549,592",80,"19,370","2,223,307","13,039","42,823","194,864","242,843","275,466","268,880","301,561","265,978",Tropicana Field
Texas Rangers,AL,"2,800,075",80,"35,001","2,406,986","21,896","49,332","558,022","414,622","493,210","557,648","486,021","290,552",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,819,919",81,"22,468","2,207,631","13,514","40,898","269,667","287,928","259,227","321,129","288,508","393,460",Rogers Centre
