Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,New York Giants,105,48,.686,5.0,3.3,1.8,-0.2,1.6,105-48,0,54-21,51-27,29-19,96-41,9-7,54-33,51-15
2,Philadelphia Athletics,92,56,.622,4.1,3.2,0.9,-0.1,0.8,90-58,2,51-22,41-34,32-28,73-44,19-12,40-25,52-31
3,Pittsburgh Pirates,96,57,.627,4.5,3.7,0.8,-0.1,0.7,90-63,6,49-28,47-29,32-16,86-48,10-9,51-37,45-20
4,Chicago White Sox,92,60,.605,3.9,2.9,1.0,-0.1,0.9,97-55,-5,50-29,42-31,31-20,70-40,22-20,36-29,56-31
5,Chicago Cubs,92,61,.601,4.3,2.9,1.5,-0.2,1.3,104-49,-12,54-25,38-36,30-32,81-53,11-8,44-43,48-18
6,Detroit Tigers,79,74,.516,3.3,3.9,-0.6,0.1,-0.5,65-88,14,45-30,34-44,32-16,61-46,18-28,32-34,47-40
7,Philadelphia Phillies,83,69,.546,4.6,3.9,0.7,-0.1,0.6,87-65,-4,39-36,44-33,18-25,73-62,10-7,32-55,51-14
8,Boston Americans,78,74,.513,3.8,3.7,0.1,0.0,0.1,78-74,0,44-32,34-42,24-28,60-47,18-27,23-43,55-31
9,Cincinnati Reds,79,74,.516,4.7,4.5,0.2,0.0,0.2,80-73,-1,50-28,29-46,21-22,69-62,10-12,37-50,42-24
10,Cleveland Napoleons,76,78,.494,3.6,3.8,-0.1,0.0,-0.1,74-80,2,41-36,35-42,23-19,60-52,16-26,36-52,40-26
11,New York Highlanders,71,78,.477,3.9,4.1,-0.2,0.0,-0.2,71-78,0,40-35,31-43,20-22,59-50,12-28,31-52,40-26
12,St. Louis Cardinals,58,96,.377,3.5,4.8,-1.3,0.2,-1.1,55-99,3,32-45,26-51,24-26,53-80,5-16,32-78,26-18
13,Washington Nationals,64,87,.424,3.6,4.0,-0.4,0.1,-0.4,68-83,-4,33-42,31-45,21-32,54-70,10-17,36-49,28-38
14,Boston Nationals,51,103,.331,3.0,4.7,-1.7,0.2,-1.5,47-107,4,29-46,22-57,21-29,47-90,4-13,32-78,19-25
15,St. Louis Browns,54,99,.353,3.3,3.9,-0.6,0.1,-0.5,65-88,-11,34-42,20-57,17-35,33-75,21-24,30-57,24-42
16,Brooklyn Superbas,48,104,.316,3.3,5.2,-1.9,0.2,-1.7,45-107,3,29-47,19-57,20-26,40-90,8-14,27-81,21-23
,Average,76,76,.500,3.9,3.9,,,,76-75,,42-34,34-42,24-24,63-59,12-16,35-49,40-26
