Tm,W,L,W-L%,GB
Milwaukee Brewers,62,47,.569,--
Baltimore Orioles,59,46,.562,1.0
Detroit Tigers,60,49,.550,2.0
New York Yankees,59,48,.551,2.0
Boston Red Sox,59,49,.546,2.5
Cleveland Indians,52,51,.505,7.0
Toronto Blue Jays,37,69,.349,23.5
Oakland Athletics,64,45,.587,--
Texas Rangers,57,48,.543,5.0
Chicago White Sox,54,52,.509,8.5
Kansas City Royals,50,53,.485,11.0
California Angels,51,59,.464,13.5
Seattle Mariners,44,65,.404,20.0
Minnesota Twins,41,68,.376,23.0
St. Louis Cardinals,59,43,.578,--
Montreal Expos,60,48,.556,2.0
Philadelphia Phillies,59,48,.551,2.5
Pittsburgh Pirates,46,56,.451,13.0
New York Mets,41,62,.398,18.5
Chicago Cubs,38,65,.369,21.5
Cincinnati Reds,66,42,.611,--
Los Angeles Dodgers,63,47,.573,4.0
Houston Astros,61,49,.555,6.0
San Francisco Giants,56,55,.505,11.5
Atlanta Braves,50,56,.472,15.0
San Diego Padres,41,69,.373,26.0
