team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,316,507",81,"28,599","2,785,411","16,792","49,826","345,938","336,544","466,033","269,037","399,114","499,841",Chase Field
Atlanta Braves,NL,"2,745,303",81,"33,893","2,739,566","15,631","53,953","314,121","479,293","602,102","411,354","456,061","482,372",Turner Field
Baltimore Orioles,AL,"2,172,487",80,"27,156","2,474,307","13,229","49,242","297,093","297,936","416,290","363,499","409,768","387,901",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,970,755",81,"36,676","3,129,975","35,424","37,216","364,010","589,301","403,156","624,686","366,196","623,406",Fenway Park
Chicago Cubs,NL,"3,252,462",81,"40,154","2,920,314","32,126","41,909","488,812","485,521","604,756","534,247","613,980","525,146",Wrigley Field
Chicago White Sox,AL,"2,684,395",81,"33,141","2,360,229","23,139","39,194","356,741","372,883","451,125","527,597","498,594","477,455",Guaranteed Rate Field
Cincinnati Reds,NL,"2,058,593",81,"25,415","2,703,969","12,521","42,720","298,457","351,662","357,509","407,601","320,431","322,933",Great American Ballpark
Cleveland Indians,AL,"2,275,911",80,"28,449","2,385,786","13,389","41,977","201,114","284,147","496,033","504,351","394,594","395,672","American Family Field, Progressive Field"
Colorado Rockies,NL,"2,376,250",82,"28,979","2,733,797","18,207","48,611","319,579","328,097","382,268","424,568","417,063","504,675",Coors Field
Detroit Tigers,AL,"3,047,124",81,"37,619","2,498,821","21,263","44,297","390,991","484,317","435,064","422,308","734,858","579,586",Comerica Park
Florida Marlins,NL,"1,370,511",81,"16,920","2,536,397","10,121","42,817","254,940","234,269","244,972","171,138","254,314","210,878",Sun Life Stadium
Houston Astros,NL,"3,020,405",81,"37,289","2,647,373","25,961","43,823","410,009","518,417","476,557","562,470","607,735","445,217",Minute Maid Park
Kansas City Royals,AL,"1,616,867",81,"19,961","2,353,650","10,102","41,257","232,331","294,962","260,050","345,087","238,248","246,189",Kauffman Stadium
Los Angeles Dodgers,NL,"3,856,753",81,"47,614","2,693,458","33,446","56,000","629,413","574,589","557,031","762,171","749,309","584,240",Dodger Stadium
Milwaukee Brewers,NL,"2,869,144",81,"35,422","2,619,387","15,602","45,341","377,276","486,931","556,249","433,972","478,253","536,463",American Family Field
Minnesota Twins,AL,"2,296,383",81,"28,350","2,501,088","13,977","48,711","364,305","425,425","386,361","389,305","409,900","321,087",Hubert H. Humphrey Metrodome
New York Mets,NL,"3,853,955",81,"47,580","2,906,758","25,236","56,438","534,300","669,585","657,572","551,348","610,532","830,618",Shea Stadium
New York Yankees,AL,"4,271,867",81,"52,739","2,985,869","38,438","55,159","586,088","673,204","594,063","907,171","867,808","643,533",Yankee Stadium I
Oakland Athletics,AL,"1,921,844",81,"23,726","2,649,448","12,477","35,077","312,419","299,653","348,557","342,426","347,012","271,777",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,108,330",81,"38,374","2,659,914","23,526","45,537","444,813","486,001","636,587","429,818","626,022","485,089",Citizens Bank Park
Pittsburgh Pirates,NL,"1,749,142",79,"22,141","2,825,303","10,566","38,429","198,290","294,012","295,288","363,073","348,916","249,563",PNC Park
San Diego Padres,NL,"2,790,074",81,"34,445","2,803,477","19,438","44,457","413,004","427,338","460,431","518,726","557,735","412,840",Petco Park
San Francisco Giants,NL,"3,223,202",81,"39,793","2,846,363","32,557","43,515","469,960","564,301","581,058","472,030","649,720","486,133",Oracle Park
Seattle Mariners,AL,"2,672,409",81,"32,993","2,602,141","16,555","46,377","325,281","371,229","580,484","474,837","557,347","363,231",T-Mobile Park
St. Louis Cardinals,NL,"3,552,180",81,"43,854","2,676,690","42,029","46,237","525,905","523,216","526,772","622,343","608,109","745,835",Busch Stadium III
Tampa Bay Devil Rays,AL,"1,389,106",81,"17,149","2,558,947","10,109","38,437","195,704","220,302","195,983","288,301","233,112","255,704","Tropicana Field, The Ballpark at Disney`s Wide World"
Texas Rangers,AL,"2,353,862",79,"29,796","2,303,036","17,232","51,548","336,199","447,417","401,343","387,036","440,170","341,697",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,360,648",81,"29,144","2,529,508","15,218","50,125","379,437","340,126","392,912","261,694","512,934","473,545",Rogers Centre
Washington Nationals,NL,"1,961,579",81,"24,217","2,544,808","15,611","40,519","298,887","291,959","295,414","373,953","338,993","362,373",Robert F. Kennedy Stadium
Los Angeles Angels,AL,"3,365,632",81,"41,551","2,527,890","33,698","44,380","566,432","539,256","626,278","395,260","602,534","635,872",Angel Stadium of Anaheim
