team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,129,183",81,"26,286","2,436,614","17,528","48,799","511,345","321,975","284,104","328,921","270,050","412,788",Chase Field
Atlanta Braves,NL,"2,373,631",81,"29,304","2,560,615","15,364","51,175","213,081","338,103","575,507","391,121","393,166","462,653",Turner Field
Baltimore Orioles,AL,"1,907,163",81,"23,545","2,276,806","10,130","49,384","315,950","334,553","381,055","229,607","346,932","299,066",Oriole Park at Camden Yards
Boston Red Sox,AL,"3,062,699",81,"37,811","2,743,386","37,057","38,347","453,070","416,391","453,938","644,996","529,376","564,928",Fenway Park
Chicago Cubs,NL,"3,168,859",80,"39,611","2,829,437","33,299","41,619","354,611","673,143","326,161","735,948","472,694","606,302",Wrigley Field
Chicago White Sox,AL,"2,284,163",80,"28,552","2,287,178","18,023","39,745","295,295","266,342","484,253","360,919","454,308","423,046",Guaranteed Rate Field
Cincinnati Reds,NL,"1,747,919",81,"21,579","2,550,935","10,304","42,234","236,060","314,723","303,296","350,014","333,182","210,644",Great American Ballpark
Cleveland Indians,AL,"1,766,242",79,"22,357","2,255,611","11,408","42,473","236,313","325,025","327,613","213,867","306,227","357,197",Progressive Field
Colorado Rockies,NL,"2,665,080",81,"32,902","2,475,081","18,246","49,427","267,319","366,740","291,277","561,397","531,407","646,940",Coors Field
Detroit Tigers,AL,"2,567,192",81,"31,694","2,429,375","18,905","44,588","216,899","396,690","413,382","449,736","568,807","521,678",Comerica Park
Florida Marlins,NL,"1,464,109",78,"18,771","2,461,259","10,131","46,427","212,967","199,819","320,760","200,727","261,907","267,929",Sun Life Stadium
Houston Astros,NL,"2,521,081",81,"31,124","2,483,853","22,032","43,827","383,611","335,668","463,484","428,633","383,846","525,839",Minute Maid Park
Kansas City Royals,AL,"1,799,686",80,"22,496","2,251,755","10,061","39,026","257,325","415,068","309,548","304,196","243,119","270,430",Kauffman Stadium
Los Angeles Dodgers,NL,"3,761,669",81,"46,440","2,716,534","30,530","57,099","314,175","699,888","722,044","529,819","738,800","756,943",Dodger Stadium
Milwaukee Brewers,NL,"3,037,451",81,"37,499","2,463,493","25,016","45,455","327,244","607,486","545,305","549,168","451,030","557,218",American Family Field
Minnesota Twins,AL,"2,416,237",82,"29,466","2,251,837","15,169","54,088","326,502","453,122","269,428","446,470","446,820","473,895",Hubert H. Humphrey Metrodome
New York Mets,NL,"3,154,270",81,"38,942","2,576,630","35,581","41,315","458,408","556,027","511,879","433,430","624,415","570,111",Citi Field
New York Yankees,AL,"3,719,358",81,"45,918","2,792,870","42,065","49,005","310,402","716,223","597,704","738,614","613,621","742,794",Yankee Stadium II
Oakland Athletics,AL,"1,408,783",81,"17,392","2,335,861","10,039","36,067","200,545","228,334","274,979","141,004","320,664","243,257",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,600,693",81,"44,453","2,460,780","32,759","45,356","500,566","629,860","402,079","762,501","541,440","764,247",Citizens Bank Park
Pittsburgh Pirates,NL,"1,577,853",81,"19,480","2,442,466","10,459","38,593","153,530","234,804","302,522","190,869","360,992","335,136",PNC Park
San Diego Padres,NL,"1,922,603",81,"23,736","2,553,832","13,646","45,496","300,282","297,476","315,908","334,887","408,984","265,066",Petco Park
San Francisco Giants,NL,"2,861,111",81,"35,322","2,578,977","23,934","43,300","385,412","537,109","323,242","523,819","542,463","549,066",Oracle Park
Seattle Mariners,AL,"2,195,128",81,"27,100","2,210,028","16,002","45,958","234,939","418,686","326,317","375,745","504,977","334,464",T-Mobile Park
St. Louis Cardinals,NL,"3,343,252",81,"41,275","2,576,987","35,206","46,707","515,765","535,203","640,339","421,505","584,613","645,827",Busch Stadium III
Tampa Bay Rays,AL,"1,874,962",81,"23,148","2,330,902","10,349","36,973","223,246","360,537","313,326","264,343","361,170","352,340",Tropicana Field
Texas Rangers,AL,"2,156,016",78,"27,641","2,210,284","12,184","49,916","246,942","458,424","363,983","455,427","284,690","346,550",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,876,129",81,"23,162","2,199,267","11,159","48,027","203,966","381,178","366,440","286,985","339,160","298,400",Rogers Centre
Washington Nationals,NL,"1,817,280",80,"22,716","2,538,927","12,473","41,985","178,230","324,970","368,179","363,128","266,379","316,394",Nationals Park
Los Angeles Angels,AL,"3,240,386",81,"40,005","2,138,608","33,411","44,222","502,422","548,611","382,595","666,875","519,102","620,781",Angel Stadium of Anaheim
