Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,60,19,2,.759,5.0,4.2,0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Newark Eagles,50,22,2,.694,6.6,4.1,2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Boston Red Sox,104,50,2,.675,5.1,3.8,1.3,-0.2,1.1,97-57,7,61-16,43-34,7-6,27-17,92-39,12-11,29-15,75-35
4,St. Louis Cardinals,98,58,0,.628,4.6,3.5,1.1,-0.1,0.9,97-59,1,49-29,49-29,8-5,34-19,56-29,42-29,45-23,53-35
5,Brooklyn Dodgers,96,60,1,.615,4.5,3.6,0.8,-0.1,0.7,93-63,3,56-22,40-38,10-7,32-23,51-32,45-28,36-32,60-28
6,Detroit Tigers,92,62,1,.597,4.5,3.7,0.9,-0.1,0.8,92-62,0,48-30,44-32,11-7,24-25,77-49,15-13,20-24,72-38
7,Birmingham Black Barons,46,37,2,.554,4.6,4.6,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Baltimore Elite Giants,38,34,5,.528,4.8,4.7,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,New York Yankees,87,67,0,.565,4.4,3.6,0.9,-0.1,0.8,93-61,-6,47-30,40-37,5-4,15-22,66-52,21-15,17-27,70-40
10,Chicago Cubs,82,71,2,.536,4.0,3.7,0.3,0.0,0.2,82-71,0,44-33,38-38,10-6,29-27,53-41,29-30,28-37,54-34
11,Homestead Grays,39,35,3,.527,5.6,5.0,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Cleveland Buckeyes,40,38,2,.513,5.6,6.8,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,New York Cubans,37,31,2,.544,4.8,4.8,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Boston Braves,81,72,1,.529,4.1,3.8,0.2,0.0,0.2,81-72,0,45-31,36-41,5-4,27-18,40-45,41-27,24-41,57-31
15,Washington Nationals,76,78,1,.494,3.9,4.6,-0.6,0.1,-0.6,67-87,9,38-38,38-40,8-7,27-14,51-50,25-28,24-42,52-36
16,Memphis Red Sox,44,58,5,.431,3.8,6.3,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Chicago White Sox,74,80,1,.481,3.6,3.8,-0.2,0.0,-0.2,73-81,1,40-38,34-42,9-4,26-26,65-67,9-13,27-39,47-41
18,Philadelphia Stars,31,36,2,.463,5.2,4.9,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Philadelphia Phillies,69,85,1,.448,3.6,4.5,-0.9,0.1,-0.8,61-93,8,41-36,28-49,5-7,25-25,60-72,9-13,31-57,38-28
20,Cincinnati-Indianapolis Clowns,35,48,1,.422,5.2,5.1,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Cleveland Indians,68,86,2,.442,3.4,4.1,-0.6,0.1,-0.6,65-89,3,36-41,32-45,5-11,25-25,53-66,15-20,22-44,46-42
22,Cincinnati Reds,67,87,2,.435,3.4,3.7,-0.3,0.0,-0.3,71-83,-4,35-42,32-45,8-10,28-41,55-73,12-14,32-56,35-31
23,Chicago American Giants,39,64,3,.379,3.5,5.0,-1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,New York Black Yankees,11,48,0,.186,3.0,7.0,-3.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,St. Louis Browns,66,88,2,.429,4.0,4.6,-0.6,0.1,-0.5,68-86,-2,35-41,31-47,2-8,25-24,51-67,15-21,24-42,42-46
26,Pittsburgh Pirates,63,91,1,.409,3.6,4.3,-0.7,0.1,-0.7,64-90,-1,37-40,26-51,4-7,25-32,43-64,20-27,34-54,29-37
27,New York Giants,61,93,0,.396,4.0,4.4,-0.5,0.1,-0.4,69-85,-8,38-39,23-54,3-7,23-38,34-57,27-36,31-57,30-36
28,Philadelphia Athletics,49,105,1,.318,3.4,4.4,-1.0,0.1,-0.9,60-94,-11,31-46,18-59,4-4,13-29,39-89,10-16,16-50,33-55
,Average,60,60,1,.500,4.3,4.5,,,,59-62,,24-19,19-24,3-3,14-14,31-31,12-12,15-22,28-21
