Tm,W,L,W-L%,GB
New York Yankees,95,67,.586,--
Baltimore Orioles,93,69,.574,2.0
Tampa Bay Rays,90,72,.556,5.0
Toronto Blue Jays,73,89,.451,22.0
Boston Red Sox,69,93,.426,26.0
Detroit Tigers,88,74,.543,--
Chicago White Sox,85,77,.525,3.0
Kansas City Royals,72,90,.444,16.0
Cleveland Indians,68,94,.420,20.0
Minnesota Twins,66,96,.407,22.0
Oakland Athletics,94,68,.580,--
Texas Rangers,93,69,.574,1.0
Los Angeles Angels of Anaheim,89,73,.549,5.0
Seattle Mariners,75,87,.463,19.0
Washington Nationals,98,64,.605,--
Atlanta Braves,94,68,.580,4.0
Philadelphia Phillies,81,81,.500,17.0
New York Mets,74,88,.457,24.0
Miami Marlins,69,93,.426,29.0
Cincinnati Reds,97,65,.599,--
St. Louis Cardinals,88,74,.543,9.0
Milwaukee Brewers,83,79,.512,14.0
Pittsburgh Pirates,79,83,.488,18.0
Chicago Cubs,61,101,.377,36.0
Houston Astros,55,107,.340,42.0
San Francisco Giants,94,68,.580,--
Los Angeles Dodgers,86,76,.531,8.0
Arizona Diamondbacks,81,81,.500,13.0
San Diego Padres,76,86,.469,18.0
Colorado Rockies,64,98,.395,30.0
