Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Brooklyn Robins,94,60,.610,3.8,3.0,0.7,-0.1,0.6,92-62,2,50-27,44-33,9-8,29-24,62-42,32-18,35-31,59-29
2,Boston Red Sox,91,63,.591,3.5,3.1,0.4,-0.1,0.4,87-67,4,49-28,42-35,10-7,33-18,64-35,27-28,64-46,27-17
3,Philadelphia Phillies,91,62,.595,3.8,3.2,0.6,-0.1,0.5,88-65,3,50-29,41-33,9-4,29-14,76-48,15-14,35-31,56-31
4,Chicago White Sox,89,65,.578,3.9,3.2,0.7,-0.1,0.6,90-64,-1,49-28,40-37,9-13,29-27,54-26,35-39,59-51,30-14
5,Boston Braves,89,63,.586,3.4,2.9,0.6,-0.1,0.5,88-64,1,41-31,48-32,7-4,32-26,64-45,25-18,35-30,54-33
6,Detroit Tigers,87,67,.565,4.3,3.8,0.5,-0.1,0.4,85-69,2,49-28,38-39,13-7,29-20,53-44,34-23,55-55,32-12
7,New York Giants,86,66,.566,3.9,3.3,0.6,-0.1,0.5,88-64,-2,47-30,39-36,9-12,27-23,64-40,22-26,26-39,60-27
8,New York Yankees,80,74,.519,3.7,3.6,0.1,0.0,0.1,79-75,1,46-31,34-43,10-12,35-24,51-47,29-27,50-60,30-14
9,St. Louis Browns,79,75,.513,3.7,3.4,0.3,0.0,0.2,82-72,-3,45-32,34-43,12-8,30-35,57-41,22-34,52-58,27-17
10,Chicago Cubs,67,86,.438,3.3,3.5,-0.1,0.0,-0.1,74-79,-7,37-41,30-45,9-8,23-38,40-53,27-33,32-55,35-31
11,Cleveland Indians,77,77,.500,4.0,3.8,0.2,0.0,0.2,80-74,-3,44-33,33-44,6-10,21-29,62-56,15-21,50-60,27-17
12,Pittsburgh Pirates,65,89,.422,3.1,3.7,-0.6,0.1,-0.6,64-90,1,37-40,28-49,7-11,30-31,52-61,13-28,30-58,35-31
13,Washington Nationals,76,77,.497,3.4,3.4,0.0,0.0,0.0,76-77,0,49-28,27-49,11-8,29-32,54-52,22-25,61-71,15-6
14,Cincinnati Reds,60,93,.392,3.3,4.0,-0.7,0.1,-0.6,63-90,-3,32-44,28-49,9-14,26-41,46-67,14-26,26-61,34-32
15,St. Louis Cardinals,60,93,.392,3.1,4.1,-1.0,0.1,-0.9,57-96,3,36-40,24-53,10-8,26-25,45-65,15-28,32-55,28-38
16,Philadelphia Athletics,36,117,.235,2.9,5.0,-2.1,0.3,-1.9,41-112,-5,23-53,13-64,2-8,11-32,25-85,11-32,30-102,6-15
,Average,76,76,.500,3.6,3.6,,,,77-76,,42-33,33-42,8-8,27-27,54-50,22-26,42-53,34-22
