team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"1,961,182",81,"24,212","2,475,428","10,482","48,034","294,702","299,280","355,868","347,672","303,945","359,715",Chase Field
Atlanta Braves,NL,"3,191,505",81,"39,401","2,369,280","28,241","43,344","509,606","604,677","561,317","498,217","431,640","586,048",Truist Park
Baltimore Orioles,AL,"1,936,798",81,"23,911","2,383,042","10,017","45,017","254,411","329,582","281,462","320,837","380,504","370,002",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,672,130",81,"32,989","2,393,278","24,477","37,457","501,967","371,179","470,145","385,534","544,841","398,464",Fenway Park
Chicago Cubs,NL,"2,775,149",81,"34,261","2,650,565","26,588","40,869","491,220","519,032","352,465","460,989","514,327","437,116",Wrigley Field
Chicago White Sox,AL,"1,669,628",78,"21,405","2,207,858","10,149","37,214","229,794","272,692","281,700","312,998","285,803","286,641",Guaranteed Rate Field
Cincinnati Reds,NL,"2,038,302",81,"25,164","2,319,925","10,205","44,073","232,722","275,119","397,711","377,041","317,061","438,648",Great American Ballpark
Colorado Rockies,NL,"2,607,935",81,"32,197","2,398,265","18,511","48,632","364,450","425,415","480,703","452,487","328,173","556,707",Coors Field
Detroit Tigers,AL,"1,612,876",77,"20,946","2,147,670","10,099","44,650","190,579","281,917","234,967","305,090","356,995","243,328",Comerica Park
Houston Astros,AL,"3,052,347",81,"37,683","2,331,193","29,272","43,032","608,026","431,164","495,827","495,909","443,102","578,319",Minute Maid Park
Kansas City Royals,AL,"1,307,052",81,"16,136","2,137,156","10,015","38,351","206,366","237,095","231,655","213,860","185,021","233,055",Kauffman Stadium
Los Angeles Dodgers,NL,"3,837,079",81,"47,371","2,583,335","36,434","53,057","742,226","536,922","596,035","580,547","785,923","595,426",Dodger Stadium
Milwaukee Brewers,NL,"2,551,347",81,"31,498","2,457,580","18,387","43,209","434,447","373,327","352,994","463,308","401,473","525,798",American Family Field
Minnesota Twins,AL,"1,974,124",81,"24,372","2,207,176","11,754","38,465","295,880","300,518","371,231","327,139","388,268","291,088",Target Field
New York Mets,NL,"2,573,555",78,"32,994","2,418,309","20,191","44,121","306,146","394,331","523,358","406,564","510,066","433,090",Citi Field
New York Yankees,AL,"3,269,016",80,"40,863","2,638,432","30,673","47,295","632,946","642,517","480,478","567,397","496,830","448,848",Yankee Stadium II
Oakland Athletics,AL,"832,352",81,"10,276","2,163,667","10,115","37,553","164,054","104,872","153,648","121,564","136,282","151,932",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,052,605",80,"38,158","2,397,542","27,025","44,669","501,077","445,855","473,081","471,200","674,008","487,384",Citizens Bank Park
Pittsburgh Pirates,NL,"1,630,624",81,"20,131","2,423,474","10,045","39,167","195,047","227,529","351,256","322,215","308,558","226,019",PNC Park
San Diego Padres,NL,"3,271,554",81,"40,390","2,555,744","19,611","45,116","563,700","479,535","633,622","519,453","589,516","485,728",Petco Park
San Francisco Giants,NL,"2,500,153",81,"30,866","2,540,382","20,203","40,711","402,728","405,761","444,477","419,509","452,033","375,645",Oracle Park
Seattle Mariners,AL,"2,690,418",81,"33,215","2,288,273","14,276","45,823","457,248","436,828","298,992","453,699","509,949","533,702",T-Mobile Park
St. Louis Cardinals,NL,"3,241,091",81,"40,013","2,279,239","32,528","55,565","518,456","600,647","487,592","546,897","586,996","500,503",Busch Stadium III
Tampa Bay Rays,AL,"1,440,301",81,"17,781","2,274,144","10,060","32,142","269,806","285,724","203,917","262,858","205,982","212,014",Tropicana Field
Texas Rangers,AL,"2,533,044",81,"31,272","2,099,720","15,867","40,738","443,241","222,580","549,849","440,793","389,467","487,114",Globe Life Field in Arlington
Toronto Blue Jays,AL,"3,021,904",81,"37,307","2,308,084","23,451","43,196","432,551","432,800","525,458","491,866","563,584","575,645",Rogers Centre
Washington Nationals,NL,"1,865,832",81,"23,035","2,338,400","10,064","38,853","290,607","285,309","285,969","309,840","268,654","425,453",Nationals Park
Miami Marlins,NL,"1,162,819",81,"14,356","2,332,934","10,338","35,043","218,549","112,390","166,450","228,690","243,750","192,990",LoanDepot Park
Cleveland Guardians,AL,"1,834,068",78,"23,514","2,115,076","12,509","38,260","183,366","308,317","302,281","367,514","319,708","352,882",Progressive Field
Los Angeles Angels,AL,"2,640,575",81,"32,600","2,512,194","17,780","44,760","407,043","486,844","442,737","412,502","418,358","473,091",Angel Stadium of Anaheim
