team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"2,564,492",72,"35,618","2,010,627","25,516","49,104","58,165","440,030","550,886","477,963","566,490","470,958",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"3,101,759",72,"43,080","1,750,842","30,019","47,561",0,"463,319","728,392","624,082","567,907","718,059",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,164,401",72,"30,061","1,939,521","19,776","34,616","114,468","249,300","511,325","476,562","401,487","411,259",Fenway Park
Chicago Cubs,NL,"1,917,546",71,"27,008","1,953,851","14,075","40,494","85,007","283,741","380,903","440,184","258,588","469,123",Wrigley Field
Chicago White Sox,AL,"1,609,775",71,"22,673","1,752,395","15,325","42,961","31,073","257,517","313,182","369,578","370,231","268,194",Guaranteed Rate Field
Cincinnati Reds,NL,"1,830,015",71,"25,775","1,782,325","17,480","51,033","68,735","263,125","415,054","358,077","408,044","316,980",Cinergy Field
Cleveland Indians,AL,"2,842,722",71,"40,038","2,008,946","26,704","42,023",0,"410,888","639,518","501,256","707,528","583,532",Progressive Field
Colorado Rockies,NL,"3,402,209",72,"47,253","1,788,374","37,193","50,127","85,315","525,127","717,073","679,169","771,076","624,449",Coors Field
Detroit Tigers,AL,"1,180,979",71,"16,634","1,879,752","10,041","39,398",0,"275,904","175,551","249,546","277,776","202,202",Tiger Stadium
Florida Marlins,NL,"1,697,414",70,"24,249","1,720,726","16,230","42,125","60,712","316,230","250,493","355,196","339,695","375,088",Sun Life Stadium
Houston Astros,NL,"1,392,683",71,"19,615","1,656,467","10,848","39,295","63,934","232,334","273,802","328,463","217,267","276,883",Astrodome
Kansas City Royals,AL,"1,237,203",70,"17,674","1,711,275","12,020","27,051","67,545","184,937","211,639","292,783","284,661","195,638",Kauffman Stadium
Los Angeles Dodgers,NL,"2,766,628",72,"38,425","1,921,976","24,495","54,006","137,851","338,784","654,823","546,345","484,024","604,801",Dodger Stadium
Milwaukee Brewers,AL,"1,088,220",71,"15,327","1,794,278","10,042","31,630","60,773","162,531","161,014","279,867","236,533","187,502",County Stadium
Minnesota Twins,AL,"1,057,668",72,"14,690","1,635,014","10,034","42,155","87,984","188,784","175,574","232,099","226,119","147,108",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,308,618",72,"18,175","1,744,481","11,246","46,515",0,"358,524","213,859","264,912","296,614","174,709",Stade Olympique
New York Mets,NL,"1,273,186",71,"17,932","1,829,653","12,620","51,715","122,955","258,047","171,578","251,200","296,064","173,342",Shea Stadium
New York Yankees,AL,"1,709,199",70,"24,417","2,072,249","13,694","50,425","50,425","219,098","333,003","299,109","434,632","372,932",Yankee Stadium I
Oakland Athletics,AL,"1,174,441",71,"16,541","1,752,899","10,003","42,596",0,"285,874","146,665","298,061","271,205","172,636",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,048,588",71,"28,853","1,699,151","17,736","59,203","74,618","411,137","325,878","481,448","481,499","274,008",Veterans Stadium
Pittsburgh Pirates,NL,"911,536",70,"13,022","1,741,882","10,039","34,841","41,888","152,727","127,370","221,678","229,633","138,240",Three Rivers Stadium
San Diego Padres,NL,"1,052,995",71,"14,831","1,725,591","10,095","41,961","92,363","132,123","232,811","205,665","146,920","243,113",Qualcomm Stadium
San Francisco Giants,NL,"1,231,591",72,"17,105","1,827,439","10,026","43,167","61,538","177,746","206,139","262,263","301,658","222,247",Candlestick Park
Seattle Mariners,AL,"1,640,379",73,"22,471","1,777,163","10,041","54,589","100,999","207,927","225,434","293,813","310,114","502,092",Kingdome
St. Louis Cardinals,NL,"1,756,061",72,"24,390","1,751,019","15,251","39,945","55,280","439,393","309,809","272,405","355,205","323,969",Busch Stadium II
Texas Rangers,AL,"1,985,910",72,"27,582","1,651,486","17,375","46,717","108,414","287,954","504,114","399,377","301,062","384,989",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,826,445",72,"39,256","1,770,309","31,070","50,426","188,272","581,988","439,791","519,796","526,455","570,143",Rogers Centre
California Angels,AL,"1,748,797",72,"24,289","1,871,769","11,817","61,292","51,145","327,134","155,814","342,576","539,092","333,036",Angel Stadium of Anaheim
