team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"2,519,280",81,"31,102","2,234,362","15,997","43,719","425,444","436,904","415,266","480,391","374,814","386,461",Angel Stadium of Anaheim
Arizona Diamondbacks,NL,"3,604,237",81,"44,497","2,159,033","38,960","49,328","556,257","624,798","504,703","585,113","630,865","702,501",Chase Field
Atlanta Braves,NL,"3,361,350",81,"41,498","2,699,383","28,662","50,662","503,325","706,549","631,196","472,681","579,427","468,172",Turner Field
Baltimore Orioles,AL,"3,684,560",81,"45,488","2,247,202","38,623","48,374","607,807","591,126","703,235","636,226","603,338","542,828",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,343,930",80,"29,299","2,442,208","18,011","33,605","349,437","426,660","314,118","351,994","465,652","436,069",Fenway Park
Chicago Cubs,NL,"2,623,000",80,"32,788","2,903,563","12,506","40,846","294,827","454,352","527,915","417,592","502,190","426,124",Wrigley Field
Chicago White Sox,AL,"1,391,146",79,"17,609","2,285,285","10,654","33,092","174,088","214,599","253,191","291,258","252,842","205,168",Guaranteed Rate Field
Cincinnati Reds,NL,"1,793,676",81,"22,144","2,192,254","12,969","54,578","273,940","267,953","344,859","308,605","305,884","292,435",Cinergy Field
Cleveland Indians,AL,"3,467,299",81,"42,806","2,334,652","40,490","43,342","546,601","548,995","646,227","560,516","646,443","518,517",Progressive Field
Colorado Rockies,NL,"3,791,276",81,"46,806","2,153,492","38,429","50,093","691,917","432,738","765,654","662,847","707,290","530,830",Coors Field
Detroit Tigers,AL,"1,409,391",79,"17,840","2,133,343","10,022","45,768","191,061","162,681","297,761","284,549","258,893","214,446",Tiger Stadium
Florida Marlins,NL,"1,750,395",79,"22,157","2,405,718","11,716","45,170","326,657","328,591","274,214","270,474","294,132","256,327",Sun Life Stadium
Houston Astros,NL,"2,450,451",80,"30,631","2,235,840","13,553","52,493","258,198","365,279","364,972","409,216","546,091","506,695",Astrodome
Kansas City Royals,AL,"1,494,875",79,"18,922","2,275,139","10,990","40,419","202,340","276,222","311,847","289,944","218,393","196,129",Kauffman Stadium
Los Angeles Dodgers,NL,"3,089,222",81,"38,139","2,642,374","25,992","53,755","471,929","418,682","548,200","548,256","644,967","457,188",Dodger Stadium
Milwaukee Brewers,NL,"1,811,548",79,"22,931","2,330,796","10,008","54,132","209,015","271,121","276,251","426,821","288,472","339,868",County Stadium
Minnesota Twins,AL,"1,165,980",81,"14,395","2,164,821","10,060","43,848","202,646","171,040","260,426","147,699","233,199","150,970",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"914,909",81,"11,295","2,314,122","10,041","31,220","158,384","162,861","172,021","132,247","185,796","103,600",Stade Olympique
New York Mets,NL,"2,287,942",77,"29,714","2,169,241","12,599","53,749","306,134","264,838","409,655","510,881","453,094","343,340",Shea Stadium
New York Yankees,AL,"2,949,734",80,"36,872","2,645,574","14,425","56,717","310,180","475,263","384,142","466,463","761,078","552,608","Yankee Stadium I, Shea Stadium"
Oakland Athletics,AL,"1,232,363",79,"15,600","2,329,460","10,154","48,241","151,358","178,576","215,818","258,083","232,349","196,179",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,715,702",79,"21,718","2,208,563","10,445","55,393","235,676","277,540","391,759","336,843","307,008","166,876",Veterans Stadium
Pittsburgh Pirates,NL,"1,560,950",80,"19,512","2,316,826","10,222","45,082","190,957","288,449","242,185","348,939","280,678","209,742",Three Rivers Stadium
San Diego Padres,NL,"2,555,964",79,"32,354","2,323,312","12,957","61,148","390,587","296,250","527,484","373,184","445,890","522,569",Qualcomm Stadium
San Francisco Giants,NL,"1,925,634",80,"24,070","2,602,331","10,021","56,788","261,247","192,669","412,353","354,057","413,178","292,130",Candlestick Park
Seattle Mariners,AL,"2,651,511",81,"32,735","2,411,923","20,679","57,822","472,228","480,844","395,606","513,476","415,158","374,199",Kingdome
St. Louis Cardinals,NL,"3,195,651",80,"39,946","2,766,984","24,548","48,212","399,396","536,630","390,590","625,376","625,698","617,961",Busch Stadium II
Tampa Bay Devil Rays,AL,"2,425,759",81,"29,948","2,143,278","21,209","45,369","405,097","340,373","424,856","500,121","459,764","295,548",Tropicana Field
Texas Rangers,AL,"2,927,409",81,"36,141","2,314,074","22,336","46,682","469,206","584,909","500,784","440,426","549,374","382,710",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,454,303",81,"30,300","2,164,294","25,509","48,123","374,387","399,488","395,179","426,202","467,532","391,515",Rogers Centre
