Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago American Giants,44,22,2,.667,4.9,4.1,0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,New York Yankees,98,55,0,.641,6.2,4.6,1.6,-0.2,1.4,96-57,2,53-25,45-30,4-3,15-19,76-40,22-15,40-25,58-30
3,New York Giants,94,59,0,.614,5.5,4.2,1.3,-0.2,1.2,95-58,-1,53-26,41-33,9-7,22-25,60-42,34-17,50-37,44-22
4,Cleveland Indians,94,60,0,.610,6.0,4.6,1.4,-0.2,1.2,95-59,-1,51-26,43-34,8-3,26-13,67-44,27-16,37-29,57-31
5,Pittsburgh Pirates,90,63,1,.588,4.5,3.9,0.6,-0.1,0.6,87-66,3,45-31,45-32,14-8,28-23,67-42,23-21,41-46,49-17
6,Kansas City Monarchs,54,41,0,.568,5.4,4.6,0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,St. Louis Giants,43,31,1,.581,6.2,5.3,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,St. Louis Cardinals,87,66,1,.569,5.3,4.4,0.8,-0.1,0.7,88-65,-1,48-29,39-37,6-8,29-23,62-44,25-22,48-39,39-27
9,St. Louis Browns,81,73,0,.526,5.4,5.5,-0.1,0.0,-0.1,76-78,5,43-34,38-39,11-3,25-15,48-49,33-24,26-40,55-33
10,Washington Nationals,80,73,1,.523,4.6,4.8,-0.2,0.0,-0.2,73-80,7,46-30,34-43,7-7,24-19,54-58,26-15,28-37,52-36
11,Boston Braves,79,74,0,.516,4.7,4.6,0.2,0.0,0.1,79-74,0,42-32,37-42,11-8,29-24,61-46,18-28,38-49,41-25
12,Indianapolis ABCs,37,37,2,.500,5.1,5.0,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Brooklyn Robins,77,75,0,.507,4.4,4.5,-0.1,0.0,-0.1,75-77,2,41-37,36-38,3-9,23-24,61-65,16-10,41-47,36-28
14,Boston Red Sox,75,79,0,.487,4.3,4.5,-0.2,0.0,-0.2,74-80,1,41-36,34-43,5-9,28-22,60-64,15-15,33-55,42-24
15,Detroit Stars,30,33,1,.476,4.6,5.2,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Detroit Tigers,71,82,1,.464,5.7,5.5,0.2,0.0,0.2,79-74,-8,37-40,34-42,8-13,16-29,52-59,19-23,36-52,35-30
17,Cincinnati Reds,70,83,0,.458,4.0,4.2,-0.2,0.0,-0.2,73-80,-3,40-36,30-47,8-8,16-23,55-66,15-17,48-61,22-22
18,Columbus Buckeyes,30,38,1,.441,4.7,5.2,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Cincinnati Cuban Stars,29,40,1,.420,4.4,4.7,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Chicago Cubs,64,89,0,.418,4.4,5.1,-0.7,0.1,-0.6,66-87,-2,32-44,32-45,11-7,17-27,40-62,24-27,40-69,24-20
21,Chicago White Sox,62,92,0,.403,4.4,5.6,-1.1,0.1,-1.0,61-93,1,37-40,25-52,11-6,25-28,47-64,15-28,33-55,29-37
22,Philadelphia Athletics,53,100,2,.346,4.2,5.8,-1.5,0.2,-1.3,55-98,-2,28-47,25-53,6-16,17-31,39-77,14-23,28-60,25-40
23,Philadelphia Phillies,51,103,0,.331,4.0,6.0,-2.0,0.2,-1.7,50-104,1,29-47,22-56,3-10,25-20,40-82,11-21,31-79,20-24
24,Chicago Giants,10,35,2,.222,4.5,6.0,-1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,62,62,0,.500,4.9,4.9,,,,62-62,,27-23,23-27,5-5,15-15,37-37,14-13,24-32,26-18
