Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,27.1,27.5,100,100,0,0,1,,Dismukes
Atlantic City Bacharach Giants,,,29.5,28.8,100,100,1,0,1,,Lloyd
Birmingham Black Barons,,,26.4,25.7,100,100,1,0,2,,"Crawford, Wesley, Dismukes and Hewitt"
Baltimore Black Sox,,,28.4,29.2,100,100,2,0,2,,Hill
Boston Red Sox,"448,556","5,825",30.1,29.1,99,103,1,0,1,"$112,200",Fohl
Brooklyn Royal Giants,,,31.7,32.9,100,100,1,0,0,,Douglass
Brooklyn Robins,"818,883","10,635",30.4,30.3,97,97,3,0,0,"$158,500",Robinson
Boston Braves,"177,478","2,335",29.1,26.6,95,98,3,0,0,"$133,950",Bancroft
Chicago American Giants,,,29.3,27.8,100,100,2,0,2,,Foster
Cleveland Browns,,,26.6,27.0,100,100,0,0,2,,White and Ray
Chicago Cubs,"716,922","9,191",25.6,27.5,101,100,2,0,1,"$161,910",Killefer
Chicago White Sox,"606,658","7,879",28.7,26.2,97,97,5,0,1,"$170,500","Evers, Walsh and Collins"
Cincinnati Reds,"473,707","6,233",29.8,30.4,99,97,2,0,0,"$203,050",Hendricks
Cleveland Indians,"481,905","6,425",28.1,27.9,102,101,3,0,1,"$97,900",Speaker
Cuban Stars East,,,27.3,24.0,100,100,1,0,2,,Chacón
Cuban Stars West,,,26.9,29.1,100,100,0,0,0,,
Detroit Tigers,"1,015,136","13,015",29.1,26.7,98,97,4,0,2,"$123,550",Cobb
Detroit Stars,,,26.0,23.7,100,100,2,0,2,,Petway
Harrisburg Giants,,,26.5,24.9,100,100,1,0,3,,Charleston
Hilldale Club,,,28.2,26.1,100,100,3,0,3,,Warfield
Kansas City Monarchs,,,27.7,28.3,100,100,2,0,3,,Méndez
Memphis Red Sox,,,25.0,24.7,100,100,1,0,3,,Glass
New York Lincoln Giants,,,28.2,26.8,100,100,0,0,2,,Gans
New York Giants,"844,068","10,962",27.6,27.0,98,95,8,0,3,"$195,400",McGraw and Jennings
New York Yankees,"1,053,533","13,507",29.2,29.3,100,99,5,0,2,"$275,450",Huggins
Philadelphia Athletics,"531,992","7,093",26.4,25.9,101,101,1,0,2,"$129,914",Mack
Philadelphia Phillies,"299,818","3,945",29.4,30.0,112,115,0,0,1,"$101,835",Fletcher
Pittsburgh Pirates,"736,883","9,570",27.9,29.3,102,99,4,0,2,"$139,350",McKechnie
St. Louis Browns,"533,349","6,838",29.8,29.4,106,107,1,0,0,"$119,500",Sisler
St. Louis Stars,,,26.0,25.3,100,100,2,0,4,,Taylor
St. Louis Cardinals,"272,885","3,544",26.8,27.8,98,98,4,0,1,"$150,850",Rickey
Washington Potomacs,,,27.0,26.0,100,100,1,0,0,,Taylor
Washington Nationals,"584,310","7,396",28.6,30.3,98,96,4,0,2,"$106,400",Harris
