Tm,W,L,W-L%,GB
Boston Red Sox,97,65,.599,--
Tampa Bay Rays,92,71,.564,5.5
Baltimore Orioles,85,77,.525,12.0
New York Yankees,85,77,.525,12.0
Toronto Blue Jays,74,88,.457,23.0
Detroit Tigers,93,69,.574,--
Cleveland Indians,92,70,.568,1.0
Kansas City Royals,86,76,.531,7.0
Minnesota Twins,66,96,.407,27.0
Chicago White Sox,63,99,.389,30.0
Oakland Athletics,96,66,.593,--
Texas Rangers,91,72,.558,5.5
Los Angeles Angels of Anaheim,78,84,.481,18.0
Seattle Mariners,71,91,.438,25.0
Houston Astros,51,111,.315,45.0
Atlanta Braves,96,66,.593,--
Washington Nationals,86,76,.531,10.0
New York Mets,74,88,.457,22.0
Philadelphia Phillies,73,89,.451,23.0
Miami Marlins,62,100,.383,34.0
St. Louis Cardinals,97,65,.599,--
Pittsburgh Pirates,94,68,.580,3.0
Cincinnati Reds,90,72,.556,7.0
Milwaukee Brewers,74,88,.457,23.0
Chicago Cubs,66,96,.407,31.0
Los Angeles Dodgers,92,70,.568,--
Arizona Diamondbacks,81,81,.500,11.0
San Diego Padres,76,86,.469,16.0
San Francisco Giants,76,86,.469,16.0
Colorado Rockies,74,88,.457,18.0
