Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,29.0,24.7,100,100,0,0,6,,Taylor
Birmingham Black Barons,,,27.2,26.6,100,100,0,0,3,,Williams
Baltimore Black Sox,,,28.0,26.8,100,100,0,0,5,,Lundy
Atlanta Black Crackers,,,24.4,27.6,100,100,0,0,2,,
Boston Red Sox,"182,150","2,366",28.4,25.7,94,99,0,0,1,"$121,900",Collins and McManus
Brooklyn Dodgers,"681,827","8,741",29.8,31.4,98,98,5,0,5,,Carey
Boston Braves,"507,606","6,592",29.7,30.2,96,97,1,0,3,,McKechnie
Chicago American Giants,,,30.7,26.2,100,100,2,0,7,,Malarcher
Chicago Cubs,"974,688","12,658",28.8,30.6,100,98,5,0,10,,Hornsby and Grimm
Chicago White Sox,"233,198","3,029",27.9,31.2,93,96,3,0,2,"$218,600",Fonseca
Cincinnati Reds,"356,950","4,636",29.6,30.8,96,99,5,0,3,,Howley
Cleveland Indians,"468,953","6,090",28.2,25.6,108,107,1,0,8,"$127,450",Peckinpaugh
Cleveland Stars,,,29.2,31.1,100,100,0,0,4,,
Columbus Turf Club,,,0.0,0.0,100,100,0,0,0,,
Cleveland Cubs,,,0.0,0.0,100,100,0,0,0,,
Pollock's Cuban Stars,,,26.2,25.8,100,100,0,0,3,,Ramírez
Detroit Tigers,"397,157","5,092",27.4,28.3,104,105,1,0,5,"$73,500",Harris
Detroit Wolves,,,28.3,29.5,100,100,5,0,10,,Dismukes
Homestead Grays,,,29.4,32.2,100,100,5,0,21,,Wilson and Posey
Hilldale Club,,,32.5,30.5,100,100,1,0,2,,Johnson and Cockrell
Little Rock Grays,,,26.3,29.3,100,100,0,0,0,,
Louisville Black Caps,,,28.3,26.1,100,100,1,0,3,,Lyons and Brown
Montgomery Grey Sox,,,23.8,23.4,100,100,0,0,1,,
Monroe Monarchs,,,25.3,23.9,100,100,1,0,8,,
Memphis Red Sox,,,26.0,23.9,100,100,0,0,6,,Curry
Nashville Elite Giants,,,26.8,24.2,100,100,0,0,4,,Hewitt
Newark Browns,,,30.9,33.8,100,100,0,0,2,,Beckwith
New York Giants,"484,868","6,297",27.6,29.9,98,96,6,0,7,,McGraw and Terry
New York Yankees,"962,320","12,498",28.3,28.5,95,91,9,0,11,"$317,500",McCarthy
Philadelphia Athletics,"405,500","5,266",29.0,30.1,103,101,4,0,6,"$211,627",Mack
Philadelphia Phillies,"268,914","3,492",27.6,29.8,112,114,1,0,3,,Shotton
Pittsburgh Pirates,"287,262","3,780",26.6,28.6,97,97,4,0,6,,Gibson
St. Louis Browns,"112,558","1,501",27.5,28.2,105,107,2,0,2,"$107,750",Killefer
St. Louis Cardinals,"279,219","3,534",29.5,27.4,104,102,5,0,10,,Street
Washington Pilots,,,28.2,28.8,100,100,1,0,7,,Warfield and McDonald
Washington Nationals,"371,396","4,823",30.0,29.0,98,96,3,0,6,"$116,650",Johnson
