Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Cleveland Buckeyes,63,17,1,.787,4.9,2.9,2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Homestead Grays,41,21,2,.661,5.4,3.8,1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Chicago Cubs,98,56,1,.636,4.7,3.4,1.3,-0.2,1.1,99-55,-1,49-26,49-30,4-2,24-21,77-41,21-15,45-43,53-13
4,Detroit Tigers,88,65,2,.575,4.1,3.6,0.4,-0.1,0.4,84-69,4,50-26,38-39,5-4,30-23,79-59,9-6,51-36,37-29
5,St. Louis Cardinals,95,59,1,.617,4.9,3.8,1.1,-0.1,1.0,95-59,0,48-29,47-30,5-11,23-22,71-41,24-18,57-31,38-28
6,Washington Nationals,87,67,2,.565,4.0,3.6,0.4,-0.1,0.3,84-70,3,46-31,41-36,6-8,28-20,70-50,17-17,45-43,42-24
7,Kansas City Monarchs,52,41,3,.559,5.2,4.5,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Newark Eagles,27,22,0,.551,4.6,5.1,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Birmingham Black Barons,47,33,2,.588,4.4,4.9,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Brooklyn Dodgers,87,67,1,.565,5.1,4.7,0.5,-0.1,0.4,84-70,3,48-30,39-37,7-6,22-22,66-53,21-14,44-44,43-23
11,St. Louis Browns,81,70,3,.536,3.9,3.6,0.3,0.0,0.3,81-70,0,47-27,34-43,9-11,29-26,63-57,18-13,42-44,39-26
12,Baltimore Elite Giants,36,32,2,.529,5.6,5.6,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,New York Yankees,81,71,0,.533,4.4,4.0,0.5,-0.1,0.4,84-68,-3,48-28,33-43,8-11,23-22,64-53,17-18,37-50,44-21
14,Pittsburgh Pirates,82,72,1,.532,4.9,4.4,0.4,-0.1,0.4,84-70,-2,45-34,37-38,11-4,24-20,65-59,17-13,39-49,43-23
15,Philadelphia Stars,25,25,0,.500,5.7,4.7,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Chicago American Giants,46,54,1,.460,5.4,5.5,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,New York Giants,78,74,2,.513,4.3,4.6,-0.2,0.0,-0.2,73-79,5,47-30,31-44,5-7,28-23,65-53,13-21,35-53,43-21
18,Cleveland Indians,73,72,2,.503,3.8,3.7,0.1,0.0,0.1,74-71,-1,44-33,29-39,5-7,23-27,62-50,11-22,42-44,31-28
19,Cincinnati-Indianapolis Clowns,39,56,1,.411,3.7,6.3,-2.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,New York Cubans,15,27,0,.357,3.4,4.3,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Chicago White Sox,71,78,1,.477,4.0,4.2,-0.2,0.0,-0.2,70-79,1,44-29,27-49,9-4,23-25,60-66,11-12,46-59,25-19
22,Boston Braves,67,85,2,.441,4.7,4.7,0.0,0.0,0.0,75-77,-8,36-38,31-47,8-13,20-33,54-62,13-23,43-65,24-20
23,New York Black Yankees,11,28,0,.282,4.3,6.0,-1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Memphis Red Sox,20,66,2,.233,4.4,6.4,-2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Boston Red Sox,71,83,3,.461,3.8,4.3,-0.5,0.1,-0.4,69-85,2,42-35,29-48,7-3,23-20,59-69,12-14,48-62,23-21
26,Cincinnati Reds,61,93,0,.396,3.5,4.5,-1.0,0.1,-0.9,59-95,2,36-41,25-52,10-5,28-23,55-88,6-5,37-73,24-20
27,Philadelphia Athletics,52,98,3,.347,3.2,4.2,-0.9,0.1,-0.8,58-92,-6,39-35,13-63,10-11,22-38,40-81,12-17,34-72,18-26
28,Philadelphia Phillies,46,108,0,.299,3.6,5.6,-2.1,0.3,-1.8,47-107,-1,22-55,24-53,3-5,20-25,40-98,6-10,28-82,18-26
,Average,58,58,1,.500,4.4,4.5,,,,58-59,,24-18,18-24,4-4,13-13,35-35,8-8,24-30,19-13
