Tm,W,L,W-L%,GB
Toronto Blue Jays,96,66,.593,--
Milwaukee Brewers,92,70,.568,4.0
Baltimore Orioles,89,73,.549,7.0
Cleveland Indians,76,86,.469,20.0
New York Yankees,76,86,.469,20.0
Detroit Tigers,75,87,.463,21.0
Boston Red Sox,73,89,.451,23.0
Oakland Athletics,96,66,.593,--
Minnesota Twins,90,72,.556,6.0
Chicago White Sox,86,76,.531,10.0
Texas Rangers,77,85,.475,19.0
California Angels,72,90,.444,24.0
Kansas City Royals,72,90,.444,24.0
Seattle Mariners,64,98,.395,32.0
Pittsburgh Pirates,96,66,.593,--
Montreal Expos,87,75,.537,9.0
St. Louis Cardinals,83,79,.512,13.0
Chicago Cubs,78,84,.481,18.0
New York Mets,72,90,.444,24.0
Philadelphia Phillies,70,92,.432,26.0
Atlanta Braves,98,64,.605,--
Cincinnati Reds,90,72,.556,8.0
San Diego Padres,82,80,.506,16.0
Houston Astros,81,81,.500,17.0
San Francisco Giants,72,90,.444,26.0
Los Angeles Dodgers,63,99,.389,35.0
